method,family,mrr_mean,mrr_std,top1_mean,top1_std,top3_mean,top3_std,top5_mean,top5_std,event_top1_mean,event_top1_std,event_top3_mean,event_top3_std,event_top5_mean,event_top5_std,scene_f1_mean,scene_f1_std
Degree,Topology rule,0.8253916666666666,0.036997695527334305,0.7188846666666667,0.06798004461850057,0.9192103333333334,0.023664099229282642,0.965446,0.016562900500818066,0.7683573333333333,0.07007015688817406,0.951332,0.017167727048156372,0.9893273333333333,0.00925077382348812,0.9972453333333333,0.004771222624583096
Betweenness,Topology rule,0.8681116666666666,0.009197433192653974,0.7720273333333333,0.010667151181704193,0.9607616666666666,0.01876823498183388,0.989631,0.009884175281731874,0.7850069999999999,0.01671326206938668,0.973446,0.024051073219297267,0.9893273333333333,0.00925077382348812,0.9944443333333334,0.009622696936583477
Cand-Obs,Coverage-oriented,0.878346,0.03415503312836922,0.795344,0.05322103049547244,0.9510293333333334,0.021817239910981678,0.9828453333333332,0.009879367405524201,0.807121,0.043544306309780574,0.9789106666666667,0.023787771361212705,1.0,0.0,0.9972453333333333,0.004771222624583096
Two-stage v1,Coverage-oriented,0.9048513333333333,0.027448067989083207,0.8319403333333334,0.04294204900017382,0.9737766666666667,0.018862720491311238,0.9891366666666667,0.013870146874973344,0.8552763333333333,0.023513744413285863,0.984375,0.027063293868263706,0.9947916666666666,0.00902109795608791,1.0,0.0
Node-Feedback,Diagnostic-driven,0.8963346666666666,0.03231566767580912,0.8153199999999999,0.0574339729689667,0.970177,0.013279333454658085,0.9964826666666666,0.0021240867057004294,0.8563013333333332,0.08022091318561102,0.9737023333333333,0.032405853118431145,1.0,0.0,1.0,0.0
Embedding-Guided,Diagnostic-driven,0.8967796666666666,0.01714745885935678,0.8181660000000001,0.029421223835863857,0.981246,0.008474335431170956,0.998856,0.001141508212848265,0.827954,0.0409837675549723,0.9783983333333334,0.00969439102436732,1.0,0.0,0.9972453333333333,0.004771222624583096
