model,n_seeds,mrr_mean,mrr_std,top1_mean,top1_std,top3_mean,top3_std,top5_mean,top5_std,active_f1_mean,active_f1_std,normal_window_fpr_mean,normal_window_fpr_std,scene_f1_mean,scene_f1_std,event_top1_mean,event_top1_std,event_top3_mean,event_top3_std,event_top5_mean,event_top5_std,model_label
gru_only,3,0.2109669132829953,0.0092256557373985,0.1451803335706916,0.0180355358575987,0.1903460966306869,0.0023807456184535,0.2196346640283075,0.0025816255892637,0.7708353305532089,0.0906548945533149,0.022680033918344,0.0073833219625654,0.8670727822901736,0.087835636424189,0.1179132513661202,0.0213085401837948,0.1933913934426229,0.0117577022720578,0.2251536885245901,0.0359948819926211,GRU
gru_gcn,3,0.254951412936254,0.0116042671047718,0.1532388835228674,0.0066532202375157,0.274206475103619,0.0161330776823005,0.3326223550802122,0.0273747209912651,0.9676881387052578,0.0105983692317419,0.0077964288520518,0.0026117980862177,0.9946205071473504,0.0046628660436275,0.1507001366120218,0.0260922870909227,0.2743340163934426,0.0075422294386964,0.3336748633879781,0.0245972781147962,GRU-GCN
lstm_graphsage_edge,3,0.4664044494199157,0.0089636634269939,0.3802761503457363,0.0141593145807269,0.4772476383630579,0.021660276040897,0.5229195308295556,0.0298037077348747,0.985137255957496,0.0050847045537175,0.0065199740995572,0.0043098695037888,1.0,0.0,0.4304986338797814,0.0266409861831116,0.5052083333333334,0.0121887837207544,0.5533640710382514,0.0391766198952193,LSTM-GraphSAGE
hydraulic_inverse,3,0.4269443465958797,0.0463034553454085,0.3118497420001238,0.0585679814725178,0.4423892190754619,0.0394872814294408,0.524700893266309,0.0175076808575812,0.9735130763983,0.0038758976072768,0.0087145318503409,0.0032797554315127,1.0,0.0,0.334443306010929,0.064472052813466,0.4791666666666667,0.0370036427070542,0.5595969945355191,0.0295196381317512,Hydraulic-Inverse
hydraulic_inverse_deepattn,3,0.8253917729506427,0.0369976878237357,0.718884439399601,0.0679801359371155,0.9192102783202551,0.0236637670113461,0.965446151387606,0.0165629963483289,0.9868792418757232,0.0073611258317822,0.0009036042613382,0.000328246841967,0.9972451790633609,0.0047714898280134,0.7683572404371585,0.0700704383772124,0.9513319672131147,0.0171676189345451,0.9893271857923496,0.0092509106767635,"Hydraulic-Inverse
DeepAttn"
