,Degree,Betweenness,Cand-Obs,Two-stage v1,Node-Feedback,Embedding-Guided
Degree,1.0,0.3888888888888889,0.1904761904761904,0.25,0.5625,0.0416666666666666
Betweenness,0.3888888888888889,1.0,0.1111111111111111,0.0869565217391304,0.4705882352941176,0.1363636363636363
Cand-Obs,0.1904761904761904,0.1111111111111111,1.0,0.3157894736842105,0.3513513513513513,0.0638297872340425
Two-stage v1,0.25,0.0869565217391304,0.3157894736842105,1.0,0.25,0.0638297872340425
Node-Feedback,0.5625,0.4705882352941176,0.3513513513513513,0.25,1.0,0.1111111111111111
Embedding-Guided,0.0416666666666666,0.1363636363636363,0.0638297872340425,0.0638297872340425,0.1111111111111111,1.0
