method,mrr_mean,mrr_std
Degree,0.8253916666666666,0.036997695527334305
Betweenness,0.8681116666666666,0.009197433192653974
Cand-Obs,0.878346,0.03415503312836922
Two-stage v1,0.9048513333333333,0.027448067989083207
Node-Feedback,0.8963346666666666,0.03231566767580912
Embedding-Guided,0.8967796666666666,0.01714745885935678
