method,mrr_I,top1_I,top3_I,top5_I,mrr_E,top1_E,top3_E,top5_E,mrr_gap,top1_gap,top3_gap,top5_gap
Degree,0.8539898311786017,0.7570607759111846,0.9571976682242548,0.9809362852350036,0.7884765482992968,0.669257066191932,0.8708881453569716,0.9462738378795502,0.06551328287930491,0.08780370971925255,0.08630952286728322,0.03466244735545343
Betweenness,0.8857877730586757,0.7938402426372719,0.9761685271987238,0.9862647265029998,0.8437334345558348,0.7410749782745603,0.9404576356857792,0.9933954663317256,0.042054338502840904,0.05276526436271167,0.0357108915129446,-0.007130739828725807
Cand-Obs,0.9024282932625336,0.8311808334011074,0.9679161093225408,0.9879986590680524,0.8451444509281499,0.7456738521872621,0.9284103076509904,0.9757974497089787,0.05728384233438366,0.08550698121384526,0.03950580167155038,0.01220120935907365
Two-stage v1,0.9208036208590418,0.8596182663848153,0.9809177934219838,0.9845494841136812,0.8827240947249462,0.793301879822256,0.9646400144484436,0.9950415568667048,0.0380795261340956,0.06631638656255934,0.016277778973540213,-0.010492072753023662
Node-Feedback,0.9044483800289131,0.8263635287668913,0.9769675983322544,0.9957108471123788,0.8853820608656323,0.8002092209685383,0.9609347861524804,0.9974923975620597,0.01906631916328083,0.026154307798353038,0.016032812179774036,-0.0017815504496808687
Embedding-Guided,0.8991867321122649,0.8267873196855376,0.9761759106997508,0.9979271096370556,0.8896230973381791,0.8000710694545594,0.9872532359470708,1.0,0.009563634774085727,0.026716250230978233,-0.011077325247319969,-0.002072890362944446
