hop_group,n_scenarios,n_nodes,mean_rr,median_rank,top1,top3,top5,mean_iou,mean_onset_error,mean_path_km
"Direct
0-hop",56,12,0.8358843537414966,1.0,0.7321428571428571,0.9464285714285714,0.9821428571428571,0.7549711409886182,2.1726190476190474,0.0
"Near
1-hop",48,14,0.90625,1.0,0.8541666666666666,0.9583333333333334,1.0,0.6977359826679556,2.3680555555555554,0.16000632825
"Near
2-hop",24,7,1.0,1.0,1.0,1.0,1.0,0.7716241957231671,2.513888888888889,0.22695651166666667
"Far
3+ hops",58,17,0.7502873563218391,1.0,0.5862068965517241,0.9137931034482759,0.9827586206896551,0.7356814756407599,2.413793103448276,0.6361667971896552
