observability_tier,n_nodes,top1,top3,top5
direct,4,0.5137809721143054,0.8397543814210481,0.9230769230769232
near,13,0.0165299151179035,0.0865163862193998,0.1591244439412277
far,13,0.044245348094168,0.3112361015784462,0.6153140115170979
