metric,time_step,hour,q05,q50,q95
depth_residual,0,0.0,-0.0033629409857748194,0.00028473462118633677,0.0027468599561380203
depth_residual,1,0.16666666666666666,-0.009187376627437998,-0.0010122552082072432,0.00361212928413165
depth_residual,2,0.3333333333333333,-0.01451755573418333,0.0015678403765190183,0.009339631077424445
depth_residual,3,0.5,-0.01631549149585028,0.0020164892384141736,0.013799654633333725
depth_residual,4,0.6666666666666666,-0.016859848889662535,0.0011328509885116522,0.01262202304067997
depth_residual,5,0.8333333333333333,-0.016051158954355705,0.001664766032179063,0.015713306192317048
depth_residual,6,1.0,-0.016542001094876163,0.0008161439992838415,0.01589870254272794
depth_residual,7,1.1666666666666665,-0.011583712328912815,0.0023113012702555696,0.014326002678392496
depth_residual,8,1.3333333333333333,-0.013080006972533635,-0.0008292518082101408,0.011480587012479015
depth_residual,9,1.5,-0.015219814717146448,0.001674933785837579,0.01396000771586939
depth_residual,10,1.6666666666666665,-0.00952656056598794,-0.0010952580732978001,0.011804593370872161
depth_residual,11,1.8333333333333333,-0.01021195466620882,0.001722714968228914,0.014948582993509756
depth_residual,12,2.0,-0.014559921907067563,0.0030987876572908385,0.012693018231089872
depth_residual,13,2.1666666666666665,-0.020809701190915474,-0.00019985306613481968,0.012868337797656318
depth_residual,14,2.333333333333333,-0.02094315691730454,0.0012776460669802203,0.007674565806188444
depth_residual,15,2.5,-0.013856497174173917,-0.0030569697274698826,0.008355032732153968
depth_residual,16,2.6666666666666665,-0.013621604260264401,-9.745809975557351e-05,0.015295486084419834
depth_residual,17,2.833333333333333,-0.015044009431722715,-0.0002102693195131372,0.008928313133230913
depth_residual,18,3.0,-0.01880913475028556,0.0028795784422683546,0.017336347849778257
depth_residual,19,3.1666666666666665,-0.019466223143174328,-0.0011202183201705629,0.018660659742018377
depth_residual,20,3.333333333333333,-0.01511271659943303,-0.001296951382289288,0.019499669382128042
depth_residual,21,3.5,-0.013936214186343582,-0.00036100448077448777,0.010200977600732561
depth_residual,22,3.6666666666666665,-0.013106686414067328,0.001767583367444786,0.014391591842574122
depth_residual,23,3.833333333333333,-0.011118922117862556,0.0005490285706726411,0.014532501397653188
depth_residual,24,4.0,-0.009859108678886577,-8.573078273815815e-07,0.010394441453936098
depth_residual,25,4.166666666666666,-0.01247374483064424,-0.0018951429070229175,0.008237690077389346
depth_residual,26,4.333333333333333,-0.008615582655281001,0.0018983232345885642,0.012143945582466564
depth_residual,27,4.5,-0.011086519857909904,0.0007966462900030474,0.013515730374738638
depth_residual,28,4.666666666666666,-0.009327686462777044,0.001552753491221831,0.014835459557628928
depth_residual,29,4.833333333333333,-0.012195434514617923,0.0004060909364930476,0.019688291430184354
depth_residual,30,5.0,-0.014516038942881945,0.0034967859969755044,0.02626465007995944
depth_residual,31,5.166666666666666,-0.018559476321338756,-0.0047437262331066765,0.020441401865920132
depth_residual,32,5.333333333333333,-0.01808349463020257,-0.0032062627306296693,0.011007442766608422
depth_residual,33,5.5,-0.022436708657227,-0.0018168432635728565,0.01197704880132128
depth_residual,34,5.666666666666666,-0.020321937165565667,-0.001950006440328944,0.017886790721813896
depth_residual,35,5.833333333333333,-0.014946143069994077,-0.0012955054182893083,0.016779082829408473
depth_residual,36,6.0,-0.011839838027359297,0.0004444676569693995,0.01754064195321405
depth_residual,37,6.166666666666666,-0.022181005842293645,0.000450201712186446,0.022956800190156647
depth_residual,38,6.333333333333333,-0.0193302008343904,0.0016995429755790048,0.021862559499264304
depth_residual,39,6.5,-0.023240975177725554,0.0037792119893328563,0.020189860562975764
depth_residual,40,6.666666666666666,-0.0168094468860808,0.0021949981617220005,0.020219702138334014
depth_residual,41,6.833333333333333,-0.006939487704229778,0.007464728420337602,0.02396632526323002
depth_residual,42,7.0,-0.015705776898263267,0.00012141562918373261,0.019262438676572218
depth_residual,43,7.166666666666666,-0.02265817217398238,0.0015257523630064357,0.01727270487384895
depth_residual,44,7.333333333333333,-0.021852912160535542,0.0029668380283388307,0.025175227328874512
depth_residual,45,7.5,-0.02757835867785933,0.00614524825598918,0.014296804317207793
depth_residual,46,7.666666666666666,-0.02856775799552341,-0.0061346196198135555,0.019958096638040327
depth_residual,47,7.833333333333333,-0.024885181239903437,-0.006589238921711732,0.021818772691765524
depth_residual,48,8.0,-0.022966574433799836,0.0022793262389580043,0.01910181684238979
depth_residual,49,8.166666666666666,-0.011936133971062928,0.0033052660799321176,0.0187512077060093
depth_residual,50,8.333333333333332,-0.02040748010414231,0.007657505202845957,0.028157488846483225
depth_residual,51,8.5,-0.018906039905077256,0.0013854161909350182,0.021251382923601906
depth_residual,52,8.666666666666666,-0.011324562558119143,0.0035714340756930474,0.036000580983490675
depth_residual,53,8.833333333333332,-0.02261921902878072,0.004267016871626825,0.027103035554888643
depth_residual,54,9.0,-0.01887842333004948,0.0037776850515169463,0.025145774212369354
