method,layout_id,budget,role,protocol,feature_set,lambda_loc,diagnosis_seed,metrics_file,metrics_exists,evidence_status,can_enter_formal_main_table,active_f1,normal_window_fpr,scene_recall,scene_fpr,scene_f1,mrr,top1,top3,top5,event_top1,event_top3,event_top5
Degree,degree_N25,25,bridge_or_budget_existing,IE420+normal_multibaseline_seedset10,raw_plus_residual,0.5,,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_layout_degree_N25_raw_plus_residual_loc0p5_s42.json,,bridge_pending_protocol_review,,0.9773650609402207,0.006448146157979581,0.9838709677419355,0.0,0.991869918699187,0.8414639210279161,0.7399309551208285,0.9401611047180668,,0.7741935483870968,0.9516129032258065,
Two-stage v1,two_stage_balanced_N25,25,bridge_or_budget_existing,IE420+normal_multibaseline_seedset10,raw_plus_residual,0.5,,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_layout_two_stage_balanced_N25_raw_plus_residual_loc0p5_s42.json,,bridge_pending_protocol_review,,0.9908256880733946,0.005910800644814616,1.0,0.0,1.0,0.9031852561941904,0.8331415420023015,0.9689298043728424,,0.8870967741935484,1.0,
