protocol,method,layout,budget,diagnosis_seed,metrics_file,status,role,active_f1,normal_window_fpr,scene_recall,scene_fpr,scene_f1,mrr,top1,top3,event_top1,event_top3,note
"IE420 + normal_multibaseline_seedset10 / raw_plus_residual / lambda_loc=0.5",Degree,degree_N25,25,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_layout_degree_N25_raw_plus_residual_loc0p5_s42.json,bridge_evidence_not_strict_normal20,layout_bridge,0.9774,0.0064,0.9839,0.0000,0.9919,0.8415,0.7399,0.9402,0.7742,0.9516,"Useful as bridge evidence for layout sensitivity, but not a strict IE420+normal20 formal ranking table."
"IE420 + normal_multibaseline_seedset10 / raw_plus_residual / lambda_loc=0.5",Two-stage v1,two_stage_balanced_N25,25,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_layout_two_stage_balanced_N25_raw_plus_residual_loc0p5_s42.json,bridge_evidence_not_strict_normal20,layout_bridge,0.9908,0.0059,1.0000,0.0000,1.0000,0.9032,0.8331,0.9689,0.8871,1.0000,"Useful as bridge evidence for layout sensitivity, but not a strict IE420+normal20 formal ranking table."
