method_short,method,seed_count,mrr_mean,mrr_std,top1_mean,top1_std,top3_mean,top3_std,top5_mean,top5_std,event_mrr_mean_mean,event_mrr_mean_std,event_top1_mean,event_top1_std,event_top3_mean,event_top3_std,event_top5_mean,event_top5_std
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,3,0.8855933311828587,0.04231256547719919,0.807029869977629,0.06745267564973015,0.9685100914605286,0.023417599467529658,0.9915595049317337,0.010001585288840814,0.877342914900905,0.030420221238765484,0.7943570474595929,0.04757718015180005,0.9631056126154166,0.020994101507851554,0.991060621779576,0.010748792209801867
Two-stage v1,two_stage_balanced_layout_v1,3,0.8714639967411303,0.025665392205167094,0.781074117182157,0.0406656509660987,0.9578458078915258,0.028805846915806812,0.9837545919509307,0.0063645026668500545,0.8611391859079722,0.028364483406283208,0.7665755020106905,0.03862097717358845,0.9489375997312505,0.03860739083132917,0.9831301280576642,0.009807500869739846
Cand-Obs,candidate_observability,3,0.8664204908633026,0.03806790344945957,0.7827251055316934,0.053449554126333565,0.9388494654297972,0.03634636602690788,0.9697396822220359,0.024742437643129018,0.8628077879256818,0.037442329809708505,0.7790504246396748,0.05150836610731014,0.9326980736177747,0.03526960683650674,0.9683850644634958,0.02169085727673931
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,3,0.8658219826980226,0.01420753884731619,0.7725014530584858,0.011133868068572068,0.9586448976842458,0.02044059106894684,0.9934090215353487,0.002940692948040725,0.8609960595737073,0.011157721316708846,0.7660370384429571,0.010933833863496823,0.9551087799585748,0.017728653794397885,0.9923700344335266,0.0004985755770536566
embedding-guided clean,embedding_guided_clean,3,0.8325483000667954,0.06648858718542904,0.7378930218695317,0.08133288428850881,0.9069448691217347,0.06886179644577471,0.9596402529654245,0.05325667495804794,0.823530050503713,0.046927531822930794,0.746031746031746,0.057230972626412496,0.9312169312169312,0.06608463490368675,0.978835978835979,0.036657159948547666
Degree,degree,3,0.7777992135409292,0.014570640885475387,0.6426277837208074,0.026006591349221266,0.9032886976655746,0.038945196179252836,0.9503289135831171,0.03663018660671389,0.7715821313074538,0.025236864403570015,0.6328708519468883,0.0386190992459771,0.9041107571706769,0.04418752502708515,0.9510649738839564,0.04182944403032834
