candidate_node,min_hop,max_hop,mean_hop,method_gap,max_methods,min_methods,method,hop
HS1316202,0,2,1.1666666666666667,2,"Degree,Two-stage v1",Cand-Obs,Betweenness,1
HS1313140,0,2,1.0,2,Two-stage v1,Embedding-Guided,Betweenness,1
HS1308302,0,2,1.0,2,Embedding-Guided,Betweenness,Betweenness,0
HS1313205,0,2,0.8333333333333334,2,"Two-stage v1,Embedding-Guided","Degree,Betweenness,Node-Feedback",Betweenness,0
HS1324403,0,2,0.8333333333333334,2,Two-stage v1,"Betweenness,Embedding-Guided",Betweenness,0
HS1313025,0,2,0.5,2,Embedding-Guided,"Degree,Cand-Obs,Two-stage v1,Node-Feedback",Betweenness,1
HS1316563,0,2,0.3333333333333333,2,Cand-Obs,"Degree,Betweenness,Two-stage v1,Node-Feedback,Embedding-Guided",Betweenness,0
HS1306554,1,2,1.3333333333333333,1,"Two-stage v1,Embedding-Guided","Degree,Betweenness,Cand-Obs,Node-Feedback",Betweenness,1
HS1308259,1,2,1.1666666666666667,1,Embedding-Guided,"Degree,Betweenness,Cand-Obs,Two-stage v1,Node-Feedback",Betweenness,1
HS2003046,0,1,0.6666666666666666,1,"Degree,Cand-Obs,Two-stage v1,Node-Feedback","Betweenness,Embedding-Guided",Betweenness,0
HS1316417,0,1,0.6666666666666666,1,"Degree,Betweenness,Cand-Obs,Node-Feedback","Two-stage v1,Embedding-Guided",Betweenness,1
HS1314477,0,1,0.6666666666666666,1,"Degree,Betweenness,Two-stage v1,Node-Feedback","Cand-Obs,Embedding-Guided",Betweenness,1
HS1306571,0,1,0.5,1,"Cand-Obs,Two-stage v1,Embedding-Guided","Degree,Betweenness,Node-Feedback",Betweenness,0
HS1306904,0,1,0.5,1,"Cand-Obs,Two-stage v1,Embedding-Guided","Degree,Betweenness,Node-Feedback",Betweenness,0
HS1313835,0,1,0.3333333333333333,1,"Two-stage v1,Embedding-Guided","Degree,Betweenness,Cand-Obs,Node-Feedback",Betweenness,0
HS1306601,0,0,0.0,0,"Degree,Betweenness,Cand-Obs,Two-stage v1,Node-Feedback,Embedding-Guided","Degree,Betweenness,Cand-Obs,Two-stage v1,Node-Feedback,Embedding-Guided",Betweenness,0
VP0232532,0,15,6.0,15,"Degree,Betweenness",Two-stage v1,Cand-Obs,2
MH0201629,0,15,5.833333333333333,15,"Degree,Betweenness",Two-stage v1,Cand-Obs,1
MH0201710,0,15,5.333333333333333,15,"Degree,Betweenness","Cand-Obs,Node-Feedback,Embedding-Guided",Cand-Obs,0
HS2003111,0,15,5.166666666666667,15,"Degree,Betweenness","Cand-Obs,Two-stage v1,Node-Feedback",Cand-Obs,0
MH0200661,1,15,5.666666666666667,14,"Degree,Betweenness","Cand-Obs,Two-stage v1,Node-Feedback,Embedding-Guided",Cand-Obs,1
HS1314237,2,15,8.5,13,"Degree,Betweenness,Embedding-Guided","Cand-Obs,Two-stage v1,Node-Feedback",Cand-Obs,2
HS1313618,0,9,3.1666666666666665,9,Embedding-Guided,Cand-Obs,Cand-Obs,0
HS1316814,1,9,4.166666666666667,8,Degree,"Cand-Obs,Two-stage v1",Cand-Obs,1
HS1306471,0,7,3.0,7,Degree,Embedding-Guided,Cand-Obs,2
HS1313471,1,7,2.3333333333333335,6,Embedding-Guided,"Degree,Cand-Obs,Two-stage v1,Node-Feedback",Cand-Obs,1
