scenario_id,relative_hour,hop_band,exceedance_rate,node_count,residual_energy_q90,hydraulic_response_index_q90,defect_type,true_node,start_hour,duration_h,flow,abs_flow,is_active
2,1.666667,2-hop,0.14285714285714285,7,1.2975895619064197,1.8000080885873795,I,HS1313402,20,18,51.4377,51.4377,True
2,1.666667,3+-hop,0.12931034482758622,116,1.3272299809886474,3.855897501152741,I,HS1313402,20,18,51.4377,51.4377,True
2,1.833333,0-hop,0.0,1,1.4273357553393887e-05,1.0103465791910657e-05,I,HS1313402,20,18,51.4377,51.4377,True
2,1.833333,1-hop,0.0,4,0.0003573836633855921,0.00048404465650684876,I,HS1313402,20,18,51.4377,51.4377,True
2,1.833333,2-hop,0.14285714285714285,7,1.2991188476674875,1.801772549593925,I,HS1313402,20,18,51.4377,51.4377,True
2,1.833333,3+-hop,0.12931034482758622,116,1.3291016951839207,3.8624280785454137,I,HS1313402,20,18,51.4377,51.4377,True
2,2.0,0-hop,0.0,1,0.0001599035432819627,0.00011318850337147661,I,HS1313402,20,18,51.4377,51.4377,True
2,2.0,1-hop,0.0,4,8.635216156518357e-05,0.0001570078899712256,I,HS1313402,20,18,51.4377,51.4377,True
2,2.0,2-hop,0.14285714285714285,7,1.3025540278461818,1.8066513269361422,I,HS1313402,20,18,51.4377,51.4377,True
2,2.0,3+-hop,0.12931034482758622,116,1.3315649996587293,3.8676153696305207,I,HS1313402,20,18,51.4377,51.4377,True
2,2.166667,0-hop,0.0,1,0.00033407526840295484,0.0002364768088801958,I,HS1313402,20,18,51.4377,51.4377,True
2,2.166667,1-hop,0.0,4,0.00017567062568561405,0.00034681727938359983,I,HS1313402,20,18,51.4377,51.4377,True
2,2.166667,2-hop,0.14285714285714285,7,1.3098417220856255,1.8166927147756218,I,HS1313402,20,18,51.4377,51.4377,True
2,2.166667,3+-hop,0.12931034482758622,116,1.337564329996944,3.8900209075236276,I,HS1313402,20,18,51.4377,51.4377,True
2,2.333333,0-hop,0.0,1,9.901284720981383e-05,7.008672703684664e-05,I,HS1313402,20,18,51.4377,51.4377,True
2,2.333333,1-hop,0.0,4,5.538395019287132e-05,0.00011003566202177521,I,HS1313402,20,18,51.4377,51.4377,True
2,2.333333,2-hop,0.14285714285714285,7,1.315668154641867,1.8251319852558965,I,HS1313402,20,18,51.4377,51.4377,True
2,2.333333,3+-hop,0.12931034482758622,116,1.3111285189615627,3.909866362540863,I,HS1313402,20,18,51.4377,51.4377,True
2,2.5,0-hop,0.0,1,6.147951104212982e-05,4.3518571884290465e-05,I,HS1313402,20,18,51.4377,51.4377,True
2,2.5,1-hop,0.0,4,3.248961535220736e-05,6.400200308732238e-05,I,HS1313402,20,18,51.4377,51.4377,True
2,2.5,2-hop,0.14285714285714285,7,1.3210444794866147,1.8326493664603904,I,HS1313402,20,18,51.4377,51.4377,True
