metric,main_mean,main_std,best_non_main_model,best_non_main_mean,delta_in_favor_of_main,lower_better,color
MRR,0.8253917729506427,0.0369976878237357,lstm_graphsage_edge,0.4664044494199157,0.358987323530727,False,#4E79A7
Top-1,0.718884439399601,0.0679801359371155,lstm_graphsage_edge,0.3802761503457363,0.3386082890538647,False,#F28E2B
Top-3,0.9192102783202551,0.0236637670113461,lstm_graphsage_edge,0.4772476383630579,0.44196263995719726,False,#59A14F
Event Top-1,0.7683572404371585,0.0700704383772124,lstm_graphsage_edge,0.4304986338797814,0.3378586065573771,False,#B07AA1
Event Top-3,0.9513319672131147,0.0171676189345451,lstm_graphsage_edge,0.5052083333333334,0.4461236338797814,False,#76B7B2
Normal FPR,0.0009036042613382,0.000328246841967,lstm_graphsage_edge,0.0065199740995572,0.005616369838219,True,#E15759
