experiment,variant,model,layers,path_prior_mode,n_seeds,mrr_mean,mrr_std,top1_mean,top1_std,top3_mean,top3_std,active_f1_mean,active_f1_std,normal_window_fpr_mean,normal_window_fpr_std,scene_f1_mean,scene_f1_std,event_top1_mean,event_top1_std,event_top3_mean,event_top3_std,label
path_prior,deepattn_L3_content_only,hydraulic_inverse_deepattn,3,none,3,0.7753603287155036,0.0316531989891272,0.6440926371135975,0.0556186084487596,0.8901301240608483,0.0054180536729839,0.9843426143312838,0.0047680761506128,0.0074242139400254,0.0044982105508242,1.0,0.0,0.6780225409836066,0.0805668512144604,0.9195696721311476,0.0141508476607921,Content-only
path_prior,deepattn_L3_distance_only,hydraulic_inverse_deepattn,3,distance_only,1,0.8001565851067027,0.0,0.6815068493150684,0.0,0.910958904109589,0.0,0.9730679156908666,0.0,0.0005274261603375,0.0,0.9833333333333332,0.0,0.7049180327868853,0.0,0.9836065573770492,0.0,Distance-only
depth,deepattn_L3,hydraulic_inverse_deepattn,3,full,3,0.8253917729506427,0.0369976878237357,0.718884439399601,0.0679801359371155,0.9192102783202551,0.0236637670113461,0.9868792418757232,0.0073611258317822,0.0009036042613382,0.000328246841967,0.9972451790633609,0.0047714898280134,0.7683572404371585,0.0700704383772124,0.9513319672131147,0.0171676189345451,Full path prior
