node_id,active_max_energy,active_mean_energy,x_km,y_km
HS1308259,6.074401745893764,5.977920716409361,1.6401220000000902,1.4348209999999963
HS1308301,4.590772641885708,4.3344734145821215,1.2381770000000252,1.2356780000000145
MH0201629,4.459805322134582,3.999564237185919,0.0,0.9649089999999851
MH0201710,4.01413941954958,3.748023897239725,0.18582600000000093,0.61399099999998
HS1316334,2.2496848520500317,1.1512403092144363,1.796652000000002,0.6167170000000042
HS1316207,2.0100881884853115,1.7694996679792565,1.6575090000000783,1.1818900000000139
MH0242303,1.975725198740463,1.7995720138421123,1.190423000000068,1.3705800000000163
HS1316267,1.9090419758898747,0.9420803080542766,1.6271380000000355,0.8958420000000042
MH0242298,1.8990028493944897,1.7231264540668831,1.2153530000000028,1.2994220000000205
MH0241587,1.79033200773272,1.6244081209350194,1.351877000000095,0.7626659999999683
HS1316302,1.6107035564664438,0.975519559136782,1.7350550000000513,0.721679999999993
HS1308324,1.4515632155946645,1.313358070068103,1.5179949999999953,1.3706410000000033
HS1311284,1.4086117273504974,1.2496410613325717,0.9995610000001034,0.20769000000000232
HS1311288,1.1648755999022398,1.0335550914564655,1.145066000000108,0.25674599999998465
HS1314512,0.44700618879323534,0.4070245281742365,1.2666750000000466,1.504402999999991
HS1306471,0.44414586768091535,0.38250414291333346,1.871606000000029,1.5753420000000042
HS1306601,0.43655781985707337,0.3799866792847286,0.8052480000000214,1.0246610000000218
MH0242782,0.3894664568211251,0.2998426268450748,2.205585000000079,0.927725999999966
HS2003014,0.3668471159539438,0.28079765989075933,0.9275720000000438,1.4100509999999777
MH0258475,0.3579855648850513,0.26777781095695996,2.316451000000001,1.103283999999985
HS1313283,0.2603017045564572,0.17949660828670322,1.151578000000096,0.29766300000000046
VP0232532,0.2210610069508362,0.15305561957418837,0.4785140000000829,0.0
HS1316671,0.1833231736345871,0.13574069150188042,2.1974610000000103,0.9335310000000172
HS1316417,0.12361808642133544,0.09359973572908228,1.4682880000000587,0.8439479999999748
HS1316415,0.1048862231640372,0.07971120504173301,1.6650070000000996,0.9300599999999977
HS1316396,0.06574531691809538,0.04927163510679222,1.7231220000000904,0.9343709999999846
HS1306571,0.05587817350511669,0.029214388974926238,0.5583500000000932,0.9042299999999813
HS1316445,0.030809422401004868,0.01200813148058453,1.6083550000000977,1.1087029999999796
HS1314477,0.02268426138900465,0.017755590067747632,1.371252000000095,1.5323269999999902
MH0100819,0.021678492655720125,0.016849519207553714,0.8608810000000522,1.7002909999999682
HS2003085,0.012306087944132063,0.007737338766125403,0.3635210000000661,1.1987179999999935
HS1313487,0.009586916480793994,0.007550378352290653,1.171710000000079,0.5275659999999917
HS1314769,0.009200950950819992,0.003746299439680612,0.965234000000055,1.4030779999999796
HS1313865,0.009078632017639622,0.00707268105937681,1.29825,0.7330719999999855
HS2003015,0.008073323396584068,0.003177154119225046,0.884298000000068,1.3761879999999655
HS1313839,0.008066663057834732,0.006187897662674449,1.4441710000000894,0.8049089999999851
HS1313925,0.006029469530469086,0.004607608498565734,1.4398450000000884,0.6548769999999786
HS2003046,0.0015096262151344049,0.0003359475677957316,0.6359320000000298,1.29086599999998
HS1306904,0.0014041787970520856,0.0003173191623233446,1.0040630000000819,1.1209689999999828
HS1344263,0.0013585803997833933,0.00047103399911914944,2.0766660000000847,0.7692870000000112
HS1313205,0.0013271742765048047,0.00032329529045967907,0.895938000000082,0.8220590000000084
HS1316707,0.0012897678332719272,0.00033824654635277915,1.894594000000041,1.2149710000000196
HS1316677,0.0011949006306309112,0.0003400064769664284,2.047077000000048,1.075545999999973
HS1316676,0.0011565728090910147,0.00036889151504695955,2.064304000000004,1.0601969999999856
HS1314237,0.0011243661390070475,0.0002782815843622321,0.3203150000000605,0.9573129999999656
HS1314268,0.001119374098445534,0.0002859004765774244,0.2168390000000363,1.0864670000000043
HS1344902,0.0011151106063944762,0.0003523477942440679,2.2106940000000175,1.2295920000000042
HS2003111,0.0011016586809449893,0.0003161050679455883,0.19495800000010058,1.1426290000000154
HS1317102,0.0010930667746575622,0.00030273839345748696,0.9699440000000177,0.42503100000001726
HS1313253,0.0010864874081040524,0.0003200038197160939,1.0681160000000383,0.4681560000000172
MH0200661,0.0010817743369791245,0.00028794723827036756,0.3354960000000428,0.29081599999999164
HS1316726,0.0010734946681668488,0.0002920775015643298,1.803249000000069,1.2988790000000154
HS1316721,0.001073338543128921,0.00030331999823390165,1.8148090000000083,1.2890889999999782
HS1316566,0.001068424984527406,0.0002763997334480487,1.869328000000096,0.9726259999999893
MH0100334,0.0010623475699932186,0.00028605554189463177,1.2745990000000456,0.5874280000000144
HS1313123,0.001062183759604195,0.00033256349481310793,0.6688800000000047,0.43169000000000235
HS1316532,0.0010619635671540672,0.0002733654870467679,1.6700090000000782,1.1696840000000084
HS2003125,0.0010607919221675382,0.00028064050284282827,0.09628800000005867,1.1082490000000107
HS1313803,0.0010599154957272113,0.0003414680973738747,1.1459170000000158,0.9448479999999981
HS1311475,0.0010588142380909857,0.00027656273090385485,0.6863010000000941,0.0953169999999809
HS1313140,0.0010583372564386354,0.0003158560099415849,0.9461110000000336,0.5601919999999809
HS1313740,0.0010549321844857487,0.00031895773457468594,1.3402420000000856,0.7841699999999837
MH0201597,0.0010547433389355562,0.00027659639249027037,0.1435700000000652,0.7004249999999883
HS1316177,0.0010536831247556137,0.0003380623598818852,1.4983200000000652,1.114960000000021
HS1313959,0.0010493722886503515,0.0002961738660905038,1.5515550000000513,0.7127100000000209
HS1316811,0.0010469552950315634,0.0002902983187240808,1.9844740000000456,1.4724560000000055
HS1313343,0.0010452078245003135,0.00034937751725703744,0.27593800000008195,0.5257880000000005
HS1313597,0.001045193129586741,0.0002751529124243129,1.2930290000000968,0.8699419999999809
HS1313298,0.0010409632765974136,0.0002737417448528749,0.5362989999999991,0.6515739999999641
HS1316563,0.0010398374872933962,0.00027501145325726,1.8401840000000085,1.0008649999999908
HS1316344,0.0010390072475077092,0.0002779583011712522,1.5238040000000037,0.8441749999999884
MH0101924,0.00103900389206443,0.000277913445347295,1.1872700000000187,0.7612679999999818
HS1313618,0.001038358685259996,0.0002732125712992617,1.503560000000056,0.4774919999999693
HS1313534,0.0010380920688987019,0.00029953695399902267,1.1358910000000615,0.6524199999999837
HS1313835,0.0010375794907856205,0.0002773800080207364,1.3478170000000391,1.0425580000000192
HS1313083,0.0010375640568050274,0.00030457888816981375,0.472954000000027,0.34890299999999114
HS1314210,0.0010364159481054836,0.000273092657015802,0.406627000000095,0.8550100000000093
HS1311887,0.001036018527758589,0.0002729524361701041,1.385060000000056,0.3907509999999893
HS1313415,0.0010355703775487468,0.0002900820615315872,1.0575360000000802,0.7598740000000107
YS2003067,0.0010351896550182353,0.0002737445522202318,0.46819200000003913,1.2334600000000209
HS1311349,0.0010343577070915427,0.00027300009351384236,2.0588760000000477,0.7572430000000168
HS1344920,0.0010343432029495294,0.0002826727166202008,0.6199350000000559,0.4211259999999893
HS1314505,0.00103413587908771,0.00027269651565821915,1.1557090000000316,1.4661859999999869
HS1316010,0.0010340186869112404,0.00029295857673955115,1.5467420000000858,0.6299349999999977
