node_id,active_max_energy,active_mean_energy,x_km,y_km
HS1306601,4.7608727902364345,4.724377869061635,0.8052480000000214,1.0246610000000218
HS1308259,4.491682475462904,4.425840517007066,1.6401220000000902,1.4348209999999963
HS1308301,3.4437728173264657,3.3186703854963073,1.2381770000000252,1.2356780000000145
MH0201629,3.174250701779123,2.8917355700983536,0.0,0.9649089999999851
MH0201710,3.077792370354228,2.8055613067951204,0.18582600000000093,0.61399099999998
HS1316334,1.8383560620435895,1.2049285012998134,1.796652000000002,0.6167170000000042
HS1316207,1.5116661923669972,1.3412669375233506,1.6575090000000783,1.1818900000000139
MH0242303,1.3352960216832428,1.2457107878014684,1.190423000000068,1.3705800000000163
MH0242298,1.2828147297431702,1.1869072345973117,1.2153530000000028,1.2994220000000205
MH0241587,1.2014025671498643,1.105128344062088,1.351877000000095,0.7626659999999683
HS1316302,1.101779448159933,0.8143789783643115,1.7350550000000513,0.721679999999993
HS1316267,1.0641691165210105,0.6291880099784319,1.6271380000000355,0.8958420000000042
HS1308324,0.9518470809893881,0.8672410966238782,1.5179949999999953,1.3706410000000033
HS1311284,0.9005050064423233,0.8078449937370441,0.9995610000001034,0.20769000000000232
HS1311288,0.7657428754029488,0.6715519223420343,1.145066000000108,0.25674599999998465
HS1306571,0.35624183162788015,0.2609270788994937,0.5583500000000932,0.9042299999999813
HS1314512,0.3464035931611405,0.31900502792345575,1.2666750000000466,1.504402999999991
HS1306471,0.3408411144593239,0.30290107087672896,1.871606000000029,1.5753420000000042
HS1316671,0.15354878328058175,0.12822768818789793,2.1974610000000103,0.9335310000000172
HS1313283,0.13531965130956894,0.07277894208470072,1.151578000000096,0.29766300000000046
HS1316417,0.10761320186740353,0.09024016532983965,1.4682880000000587,0.8439479999999748
HS1316415,0.09146287968674272,0.07592080455393935,1.6650070000000996,0.9300599999999977
HS1316396,0.052964051248124096,0.04323453545823006,1.7231220000000904,0.9343709999999846
HS1314769,0.04947682996107113,0.03219887466675138,0.965234000000055,1.4030779999999796
HS2003015,0.04116311217981066,0.026177614299938232,0.884298000000068,1.3761879999999655
HS1314477,0.023516107706514914,0.018965617874951175,1.371252000000095,1.5323269999999902
