model,n_seeds,mrr_mean,mrr_std,top1_mean,top1_std,top3_mean,top3_std,top5_mean,top5_std,active_recall_mean,active_recall_std,event_top1_mean,event_top1_std,event_top3_mean,event_top3_std,event_top5_mean,event_top5_std
hydraulic_inverse_deepattn,3,0.7777992135409292,0.014570640885475387,0.6426277837208074,0.026006591349221266,0.9032886976655746,0.038945196179252836,0.9503289135831171,0.03663018660671388,0.9589688851742909,0.023136081664756874,0.6613756613756614,0.06009426820952669,0.9365079365079366,0.031746031746031744,0.9735449735449735,0.03304231745184337
gru_gcn,3,0.20491249073566611,0.03935519728989023,0.09823562158776498,0.04136609325699961,0.2290899120709554,0.05324987355848046,0.2585083306234099,0.048137645161468026,0.9525294139093706,0.024625121434987123,0.1111111111111111,0.057230972626412524,0.24338624338624337,0.06608463490368675,0.2645502645502646,0.0600942682095267
hydraulic_inverse,3,0.3423436563027166,0.028651293678646758,0.2274817069950685,0.010323163133430008,0.3543748889258387,0.04169617297913798,0.42109407660606085,0.08379012542873801,0.9192069333492903,0.03566139330880529,0.21164021164021163,0.009164289987136916,0.36507936507936506,0.057230972626412524,0.45502645502645506,0.06009426820952673
lstm_graphsage_edge,3,0.4138746749069346,0.005503182569409561,0.33794442457984747,0.014245610459058752,0.40613622797298216,0.021180950383339937,0.45215422317245296,0.0230990244542636,0.9514669604338101,0.05879671667841504,0.3703703703703704,0.009164289987136916,0.42857142857142855,0.027492869961410746,0.4656084656084656,0.018328579974273833
