method,layout_id,budget,role,protocol,feature_set,lambda_loc,diagnosis_seed,metrics_file,metrics_exists,evidence_status,can_enter_formal_main_table,active_f1,normal_window_fpr,scene_recall,scene_fpr,scene_f1,mrr,top1,top3,top5,event_top1,event_top3,event_top5
Degree,degree_N25,25,fixed_protocol_reference,IE420+normal20,raw_plus_residual,0.5,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s42.json,True,formal_fixed_protocol,yes,0.979045,0.000527,0.983607,0.0,0.991736,0.845745,0.772831,0.897260,0.946347,0.819672,0.950820,0.983607
Cand-Obs,candidate_observability_N25,25,task_driven_baseline,IE420+normal20,raw_plus_residual,0.5,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_candidate_observability_N25_normal20_rawres_loc0p5_s42.json,True,formal_fixed_protocol,yes,0.979070,0.001055,0.983607,0.0,0.991736,0.890474,0.813927,0.958904,0.977169,0.852459,0.983607,1.000000
Two-stage v1,two_stage_balanced_layout_v1_N25,25,task_driven_optimization,IE420+normal20,raw_plus_residual,0.5,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N25_normal20_rawres_loc0p5_s42.json,True,formal_fixed_protocol,yes,0.989679,0.002637,1.000000,0.0,1.000000,0.906520,0.829909,0.981735,0.996575,0.868852,1.000000,1.000000
Node-Feedback,v0_2_clean_scenario_N25,25,external_feedback_node_level,IE420+normal20,raw_plus_residual,0.5,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_v0_2_clean_scenario_N25_normal20_rawres_loc0p5_s42.json,True,formal_fixed_protocol,yes,0.981839,0.011076,0.983607,0.4,0.975610,0.895871,0.828767,0.960046,0.982877,0.836066,0.983607,1.000000
Surrogate-Search,v2_2_clean_generalization_N25,25,external_feedback_layout_level,IE420+normal20,raw_plus_residual,0.5,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_v2_2_clean_generalization_N25_normal20_rawres_loc0p5_s42.json,True,formal_fixed_protocol,yes,0.980847,0.001055,1.000000,0.0,1.000000,0.911590,0.837900,0.981735,0.996575,0.836066,1.000000,1.000000
Embedding-Guided,embedding_guided_clean_N25,25,internal_embedding_guided,IE420+normal20,raw_plus_residual,0.5,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_N25_normal20_rawres_loc0p5_s42.json,True,formal_fixed_protocol,yes,0.990836,0.002637,1.000000,0.0,1.000000,0.873246,0.789954,0.947489,0.986301,0.786885,0.967213,0.983607
