method,budget,tag,mrr,top1,top3,top5,event_top1,event_top3,active_recall,scene_f1
Degree,5,48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N5_s42,0.5413952134209409,0.3732876712328767,0.6449771689497716,0.7591324200913242,0.36065573770491804,0.6885245901639344,0.9223744292237442,0.9833333333333333
Degree,10,48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N10_s42,0.7204908141738748,0.6187214611872146,0.7899543378995434,0.8424657534246576,0.6229508196721312,0.8360655737704918,0.980593607305936,0.9836065573770492
Degree,15,48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N15_s42,0.7809943212153705,0.6598173515981736,0.889269406392694,0.9383561643835616,0.6721311475409836,0.9016393442622951,0.9337899543378996,0.9747899159663865
Degree,20,48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N20_s42,0.7872082057438757,0.6621004566210046,0.906392694063927,0.9634703196347032,0.7049180327868853,0.9344262295081968,0.9463470319634704,0.9833333333333333
Degree,25,48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s42,0.8457453866493484,0.7728310502283106,0.8972602739726028,0.9463470319634704,0.819672131147541,0.9508196721311475,0.9600456621004566,0.9917355371900827
Betweenness,5,48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N5_s42,0.6022712946805644,0.4360730593607306,0.6894977168949772,0.8527397260273972,0.4426229508196721,0.6885245901639344,0.9965753424657534,1.0
Betweenness,10,48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N10_s42,0.6704309582199952,0.4965753424657534,0.8162100456621004,0.9166666666666666,0.6065573770491803,0.8852459016393442,0.9726027397260274,0.9833333333333333
Betweenness,15,48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N15_s42,0.8261827811530736,0.7054794520547946,0.9383561643835616,0.9680365296803652,0.6885245901639344,0.9672131147540983,0.9577625570776256,1.0
Betweenness,20,48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N20_s42,0.8657833289644218,0.7796803652968036,0.95662100456621,0.9942922374429224,0.8032786885245902,1.0,0.9748858447488584,1.0
Betweenness,25,48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N25_s42,0.8575152626864986,0.7602739726027398,0.9417808219178082,0.978310502283105,0.7704918032786885,0.9672131147540983,0.9600456621004566,0.9833333333333333
Two-stage v1,5,ch5_fixed_two_stage_balanced_layout_v1_N5_normal20_rawres_loc0p5_s42,0.3151387036161404,0.16095890410958905,0.3664383561643836,0.4828767123287671,0.22950819672131148,0.4262295081967213,0.9794520547945206,1.0
Two-stage v1,10,ch5_fixed_two_stage_balanced_layout_v1_N10_normal20_rawres_loc0p5_s42,0.7542443509175353,0.6187214611872146,0.8835616438356164,0.9223744292237442,0.6229508196721312,0.8688524590163934,0.930365296803653,0.9833333333333333
Two-stage v1,15,ch5_fixed_two_stage_balanced_layout_v1_N15_normal20_rawres_loc0p5_s42,0.84360391549664,0.7374429223744292,0.9406392694063926,0.9771689497716894,0.8032786885245902,0.9508196721311475,0.9954337899543378,1.0
Two-stage v1,20,ch5_fixed_two_stage_balanced_layout_v1_N20_normal20_rawres_loc0p5_s42,0.8913851934208717,0.8162100456621004,0.9554794520547946,0.9874429223744292,0.819672131147541,0.9836065573770492,0.9885844748858448,0.9917355371900827
Two-stage v1,25,ch5_fixed_two_stage_balanced_layout_v1_N25_normal20_rawres_loc0p5_s42,0.9065195379191882,0.8299086757990868,0.9817351598173516,0.9965753424657534,0.8688524590163934,1.0,0.9851598173515982,1.0
Embedding-Guided,5,ch5_fixed_embedding_guided_clean_new_N5_normal20_rawres_loc0p5_s42,0.6067046794240878,0.4280821917808219,0.7157534246575342,0.8550228310502284,0.4262295081967213,0.7213114754098361,0.9703196347031964,0.9917355371900827
Embedding-Guided,10,ch5_fixed_embedding_guided_clean_new_N10_normal20_rawres_loc0p5_s42,0.6577861197888171,0.4828767123287671,0.7842465753424658,0.9315068493150684,0.47540983606557374,0.7868852459016393,0.9954337899543378,1.0
Embedding-Guided,15,ch5_fixed_embedding_guided_clean_new_N15_normal20_rawres_loc0p5_s42,0.8401114215402434,0.728310502283105,0.9440639269406392,0.9726027397260274,0.7540983606557377,0.9836065573770492,1.0,0.991869918699187
Embedding-Guided,20,ch5_fixed_embedding_guided_clean_new_N20_normal20_rawres_loc0p5_s42,0.8461676900738586,0.7442922374429224,0.9372146118721462,0.9714611872146118,0.7377049180327869,0.9508196721311475,0.9908675799086758,1.0
Embedding-Guided,25,ch5_fixed_embedding_guided_clean_new_N25_normal20_rawres_loc0p5_s42,0.8822670256438321,0.7968036529680366,0.9714611872146118,0.997716894977169,0.7868852459016393,0.9672131147540983,0.9828767123287672,0.9917355371900827
