method,method_group,split,budget,training_target_scope,n_seeds,seeds,mrr_mean,mrr_std,top1_mean,top1_std,top3_mean,top3_std,top5_mean,top5_std,event_level_top1_mean,event_level_top1_std
learnable_layout_network_v0_2_generalization,historical_feedback_layout,scenario,25,historical_feedback_generalization,3,"7,42,123",0.8883662234793249,0.024431341614700345,0.7983025137789183,0.03826246184139859,0.9846983744873831,0.008989586371206008,0.9985629868767768,0.000533256449685537,0.8253968253968255,0.05498573992282151
learnable_layout_network_v2_2_clean_generalization,surrogate_aware_layout,scenario,25,historical_feedback_generalization,3,"7,42,123",0.8855933311828587,0.042312565477199165,0.807029869977629,0.06745267564973015,0.9685100914605286,0.02341759946752963,0.9915595049317337,0.010001585288840814,0.8306878306878307,0.045821449935684544
two_stage_balanced_layout_v1,two_stage_framework,scenario,25,not_applicable,3,"7,42,123",0.8714639967411303,0.025665392205167063,0.781074117182157,0.040665650966098706,0.9578458078915258,0.028805846915806812,0.9837545919509307,0.006364502666850054,0.7883597883597884,0.03304231745184337
candidate_observability,task_driven_baseline,scenario,25,not_applicable,3,"7,42,123",0.8664204908633026,0.03806790344945957,0.7827251055316934,0.053449554126333565,0.9388494654297972,0.036346366026907884,0.9697396822220359,0.024742437643129,0.8412698412698413,0.06918887211969321
learnable_layout_network_v0_2_clean_scenario,historical_feedback_layout,scenario,25,clean_scenario_only,3,"7,42,123",0.8658219826980226,0.014207538847316193,0.7725014530584858,0.011133868068572073,0.9586448976842458,0.020440591068946926,0.9934090215353487,0.0029406929480408094,0.8253968253968255,0.04199605255658077
degree,topology_baseline,scenario,25,not_applicable,3,"7,42,123",0.7777992135409292,0.014570640885475388,0.6426277837208074,0.026006591349221266,0.9032886976655746,0.03894519617925288,0.9503289135831171,0.036630186606713924,0.6613756613756614,0.06009426820952668
