method_key,method_short,method,budget,layout_seed_count,direct_mean,near_mean,far_mean,mean_hop_mean,max_hop_mean,overlap_count_mean,monitor_dispersion_mean_hop_mean,monitor_redundancy_mean_jaccard_mean,global_mean_hop_mean,direct_std,near_std,far_std,mean_hop_std,max_hop_std,overlap_count_std,monitor_dispersion_mean_hop_std,monitor_redundancy_mean_jaccard_std,global_mean_hop_std,direct_min,near_min,far_min,mean_hop_min,max_hop_min,overlap_count_min,monitor_dispersion_mean_hop_min,monitor_redundancy_mean_jaccard_min,global_mean_hop_min,direct_max,near_max,far_max,mean_hop_max,max_hop_max,overlap_count_max,monitor_dispersion_mean_hop_max,monitor_redundancy_mean_jaccard_max,global_mean_hop_max,jaccard_pair_count,jaccard_mean,jaccard_std,jaccard_min,jaccard_max
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,10,15.0,34.2,0.8,0.9640000000000001,2.8,15.0,12.468666666666667,0.09219050949050944,1.3484375,0.0,0.4216370213557833,0.4216370213557839,0.008432740427115705,0.42163702135578385,0.0,0.04028294985949605,0.0006339926385051833,0.021220363320274396,15,34,0,0.96,2.0,15,12.4,0.0917000499500499,1.3125,15,35,1,0.98,3.0,15,12.496666666666666,0.0929743173493173,1.375,45,0.8725455614344504,0.10211666518483524,0.7857142857142857,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,10,12.0,37.0,1.0,1.094,3.0,12.0,12.634333333333334,0.09250733155733151,1.3234375,0.0,0.0,0.0,0.013498971154211087,0.0,0.0,0.14350162385625842,0.001788300438956462,0.03686528826913822,12,37,1,1.08,3.0,12,12.37,0.0910246281496281,1.296875,12,37,1,1.12,3.0,12,12.796666666666669,0.0951603304103304,1.421875,45,0.8794954442464021,0.07478498854155981,0.7241379310344828,1.0
