method_key,method_short,method,budget,node_id,selection_count,layout_seed_count,selection_frequency
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,MH0241587,10,10,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1313253,9,10,0.9
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1330842,9,10,0.9
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1316445,8,10,0.8
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,MH0242303,8,10,0.8
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1308301,6,10,0.6
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1308324,4,10,0.4
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1313794,2,10,0.2
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1316202,2,10,0.2
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,HS1313167,1,10,0.1
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,YS2003067,1,10,0.1
