method_key,method_short,method,budget,diagnosis_seed,split_mode,layout_file,output_tag,metrics_file,command,direct,near,far,mean_hop,max_hop,overlap_count,monitor_dispersion_mean_hop,monitor_redundancy_mean_jaccard,global_mean_hop,metrics_status,window_mrr,window_top1,window_top3,window_top5,event_mrr_mean,event_top1_mean,event_top3_mean,event_top5_mean,scenario_count
degree,Degree,degree,10,123,scenario,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N10.json,ch5_core_degree_N10_scenario_s123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_core_degree_N10_scenario_s123.json,"conda run -n swmm_gpu python ""E:\11.16\script2_new\scripts\train_privileged_teacher_student.py"" --student-monitors ""E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N10.json"" --teacher-subdir time_gated_full_ie_v4_formal_conservative420_seed42 --student-model-type hydraulic_inverse_deepattn --num-epochs 25 --lambda-kd 0 --lambda-active-kd 0 --split-mode scenario --seed 123 --output-tag ch5_core_degree_N10_scenario_s123",6,17,27,5.1,15.0,6,9.622222222222222,0.06710758377425044,,missing,,,,,,,,,
candidate_observability,Cand-Obs,candidate_observability,10,7,scenario,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N10.json,ch5_core_candidate_observability_N10_scenario_s7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_core_candidate_observability_N10_scenario_s7.json,"conda run -n swmm_gpu python ""E:\11.16\script2_new\scripts\train_privileged_teacher_student.py"" --student-monitors ""E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N10.json"" --teacher-subdir time_gated_full_ie_v4_formal_conservative420_seed42 --student-model-type hydraulic_inverse_deepattn --num-epochs 25 --lambda-kd 0 --lambda-active-kd 0 --split-mode scenario --seed 7 --output-tag ch5_core_candidate_observability_N10_scenario_s7",6,30,14,2.36,9.0,6,12.488888888888889,0.008641975308641974,,missing,,,,,,,,,
candidate_observability,Cand-Obs,candidate_observability,10,42,scenario,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N10.json,ch5_core_candidate_observability_N10_scenario_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_core_candidate_observability_N10_scenario_s42.json,"conda run -n swmm_gpu python ""E:\11.16\script2_new\scripts\train_privileged_teacher_student.py"" --student-monitors ""E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N10.json"" --teacher-subdir time_gated_full_ie_v4_formal_conservative420_seed42 --student-model-type hydraulic_inverse_deepattn --num-epochs 25 --lambda-kd 0 --lambda-active-kd 0 --split-mode scenario --seed 42 --output-tag ch5_core_candidate_observability_N10_scenario_s42",6,30,14,2.36,9.0,6,12.488888888888889,0.008641975308641974,,missing,,,,,,,,,
candidate_observability,Cand-Obs,candidate_observability,10,123,scenario,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N10.json,ch5_core_candidate_observability_N10_scenario_s123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_core_candidate_observability_N10_scenario_s123.json,"conda run -n swmm_gpu python ""E:\11.16\script2_new\scripts\train_privileged_teacher_student.py"" --student-monitors ""E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N10.json"" --teacher-subdir time_gated_full_ie_v4_formal_conservative420_seed42 --student-model-type hydraulic_inverse_deepattn --num-epochs 25 --lambda-kd 0 --lambda-active-kd 0 --split-mode scenario --seed 123 --output-tag ch5_core_candidate_observability_N10_scenario_s123",6,30,14,2.36,9.0,6,12.488888888888889,0.008641975308641974,,missing,,,,,,,,,
two_stage_balanced_layout_v1,Two-stage v1,two_stage_balanced_layout_v1,10,7,scenario,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N10.json,ch5_core_two_stage_balanced_layout_v1_N10_scenario_s7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_core_two_stage_balanced_layout_v1_N10_scenario_s7.json,"conda run -n swmm_gpu python ""E:\11.16\script2_new\scripts\train_privileged_teacher_student.py"" --student-monitors ""E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N10.json"" --teacher-subdir time_gated_full_ie_v4_formal_conservative420_seed42 --student-model-type hydraulic_inverse_deepattn --num-epochs 25 --lambda-kd 0 --lambda-active-kd 0 --split-mode scenario --seed 7 --output-tag ch5_core_two_stage_balanced_layout_v1_N10_scenario_s7",8,21,21,3.08,15.0,8,12.844444444444445,0.008024691358024692,,missing,,,,,,,,,
two_stage_balanced_layout_v1,Two-stage v1,two_stage_balanced_layout_v1,10,42,scenario,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N10.json,ch5_core_two_stage_balanced_layout_v1_N10_scenario_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_core_two_stage_balanced_layout_v1_N10_scenario_s42.json,"conda run -n swmm_gpu python ""E:\11.16\script2_new\scripts\train_privileged_teacher_student.py"" --student-monitors ""E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N10.json"" --teacher-subdir time_gated_full_ie_v4_formal_conservative420_seed42 --student-model-type hydraulic_inverse_deepattn --num-epochs 25 --lambda-kd 0 --lambda-active-kd 0 --split-mode scenario --seed 42 --output-tag ch5_core_two_stage_balanced_layout_v1_N10_scenario_s42",8,21,21,3.08,15.0,8,12.844444444444445,0.008024691358024692,,missing,,,,,,,,,
two_stage_balanced_layout_v1,Two-stage v1,two_stage_balanced_layout_v1,10,123,scenario,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N10.json,ch5_core_two_stage_balanced_layout_v1_N10_scenario_s123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_core_two_stage_balanced_layout_v1_N10_scenario_s123.json,"conda run -n swmm_gpu python ""E:\11.16\script2_new\scripts\train_privileged_teacher_student.py"" --student-monitors ""E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N10.json"" --teacher-subdir time_gated_full_ie_v4_formal_conservative420_seed42 --student-model-type hydraulic_inverse_deepattn --num-epochs 25 --lambda-kd 0 --lambda-active-kd 0 --split-mode scenario --seed 123 --output-tag ch5_core_two_stage_balanced_layout_v1_N10_scenario_s123",8,21,21,3.08,15.0,8,12.844444444444445,0.008024691358024692,,missing,,,,,,,,,
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,10,7,scenario,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N10\layout_seed_42\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N10_layoutseed42.json,ch5_core_v0_2_clean_scenario_N10_scenario_s7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_core_v0_2_clean_scenario_N10_scenario_s7.json,"conda run -n swmm_gpu python ""E:\11.16\script2_new\scripts\train_privileged_teacher_student.py"" --student-monitors ""E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N10\layout_seed_42\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N10_layoutseed42.json"" --teacher-subdir time_gated_full_ie_v4_formal_conservative420_seed42 --student-model-type hydraulic_inverse_deepattn --num-epochs 25 --lambda-kd 0 --lambda-active-kd 0 --split-mode scenario --seed 7 --output-tag ch5_core_v0_2_clean_scenario_N10_scenario_s7",6,29,15,2.68,15.0,6,13.0,0.0804417187750521,3.265625,missing,,,,,,,,,
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,10,42,scenario,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N10\layout_seed_42\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N10_layoutseed42.json,ch5_core_v0_2_clean_scenario_N10_scenario_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_core_v0_2_clean_scenario_N10_scenario_s42.json,"conda run -n swmm_gpu python ""E:\11.16\script2_new\scripts\train_privileged_teacher_student.py"" --student-monitors ""E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N10\layout_seed_42\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N10_layoutseed42.json"" --teacher-subdir time_gated_full_ie_v4_formal_conservative420_seed42 --student-model-type hydraulic_inverse_deepattn --num-epochs 25 --lambda-kd 0 --lambda-active-kd 0 --split-mode scenario --seed 42 --output-tag ch5_core_v0_2_clean_scenario_N10_scenario_s42",6,29,15,2.68,15.0,6,13.0,0.0804417187750521,3.265625,missing,,,,,,,,,
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,10,123,scenario,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N10\layout_seed_42\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N10_layoutseed42.json,ch5_core_v0_2_clean_scenario_N10_scenario_s123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_core_v0_2_clean_scenario_N10_scenario_s123.json,"conda run -n swmm_gpu python ""E:\11.16\script2_new\scripts\train_privileged_teacher_student.py"" --student-monitors ""E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v0_2_clean_scenario\N10\layout_seed_42\monitor_nodes_learnable_layout_network_v0_2_clean_scenario_N10_layoutseed42.json"" --teacher-subdir time_gated_full_ie_v4_formal_conservative420_seed42 --student-model-type hydraulic_inverse_deepattn --num-epochs 25 --lambda-kd 0 --lambda-active-kd 0 --split-mode scenario --seed 123 --output-tag ch5_core_v0_2_clean_scenario_N10_scenario_s123",6,29,15,2.68,15.0,6,13.0,0.0804417187750521,3.265625,missing,,,,,,,,,
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,10,7,scenario,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v2_2_clean_generalization\N10\layout_seed_42\monitor_nodes_learnable_layout_network_v2_2_clean_generalization_N10_layoutseed42.json,ch5_core_v2_2_clean_generalization_N10_scenario_s7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_core_v2_2_clean_generalization_N10_scenario_s7.json,"conda run -n swmm_gpu python ""E:\11.16\script2_new\scripts\train_privileged_teacher_student.py"" --student-monitors ""E:\11.16\script2_new\chapter5_layout_optimization\outputs\layout_stability\layout_files\v2_2_clean_generalization\N10\layout_seed_42\monitor_nodes_learnable_layout_network_v2_2_clean_generalization_N10_layoutseed42.json"" --teacher-subdir time_gated_full_ie_v4_formal_conservative420_seed42 --student-model-type hydraulic_inverse_deepattn --num-epochs 25 --lambda-kd 0 --lambda-active-kd 0 --split-mode scenario --seed 7 --output-tag ch5_core_v2_2_clean_generalization_N10_scenario_s7",5,29,16,2.32,9.0,5,12.666666666666666,0.08989417989417989,3.1796875,missing,,,,,,,,,
