method_short,method,seed,embedding_seed,scenario_id,scenario_mrr,scenario_top1,scenario_top3,scenario_top5,n_windows
embedding-guided clean,embedding_guided_clean,42,42,35,0.7156746031746031,0.5833333333333334,0.875,0.9166666666666666,24
embedding-guided clean,embedding_guided_clean,42,42,49,1.0,1.0,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,42,42,50,1.0,1.0,1.0,1.0,5
embedding-guided clean,embedding_guided_clean,42,42,51,0.39444444444444443,0.16666666666666666,0.3333333333333333,0.8333333333333334,6
embedding-guided clean,embedding_guided_clean,42,42,53,0.6527777777777778,0.5,0.6111111111111112,1.0,18
embedding-guided clean,embedding_guided_clean,42,42,55,0.7546296296296297,0.6666666666666666,0.7222222222222222,1.0,18
embedding-guided clean,embedding_guided_clean,42,42,59,1.0,1.0,1.0,1.0,23
embedding-guided clean,embedding_guided_clean,42,42,72,0.9166666666666666,0.8333333333333334,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,42,42,81,1.0,1.0,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,42,42,88,1.0,1.0,1.0,1.0,23
embedding-guided clean,embedding_guided_clean,42,42,89,0.8194444444444443,0.6666666666666666,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,42,42,92,1.0,1.0,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,42,42,100,0.9090909090909091,0.8181818181818182,1.0,1.0,11
embedding-guided clean,embedding_guided_clean,42,42,103,1.0,1.0,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,42,42,107,0.9791666666666666,0.9583333333333334,1.0,1.0,24
embedding-guided clean,embedding_guided_clean,42,42,122,1.0,1.0,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,42,42,131,1.0,1.0,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,42,42,135,0.9782608695652174,0.9565217391304348,1.0,1.0,23
embedding-guided clean,embedding_guided_clean,42,42,150,0.47222222222222215,0.16666666666666666,0.8333333333333334,0.8333333333333334,6
embedding-guided clean,embedding_guided_clean,42,42,152,1.0,1.0,1.0,1.0,17
embedding-guided clean,embedding_guided_clean,42,42,161,0.9166666666666666,0.8333333333333334,1.0,1.0,12
embedding-guided clean,embedding_guided_clean,42,42,167,0.8888888888888888,0.8333333333333334,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,42,42,170,0.8333333333333334,0.6666666666666666,1.0,1.0,6
embedding-guided clean,embedding_guided_clean,42,42,175,1.0,1.0,1.0,1.0,23
embedding-guided clean,embedding_guided_clean,42,42,188,0.5833333333333334,0.16666666666666666,1.0,1.0,6
