method_key,method_short,method,budget,layout_seed_a,layout_seed_b,intersection_count,union_count,jaccard
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,1,4,24,26,0.9230769230769231
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,1,5,24,26,0.9230769230769231
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,1,6,25,25,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,1,7,24,26,0.9230769230769231
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,1,8,24,26,0.9230769230769231
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,1,9,23,27,0.8518518518518519
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,1,10,23,27,0.8518518518518519
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,2,3,23,27,0.8518518518518519
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,2,4,24,26,0.9230769230769231
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,2,5,24,26,0.9230769230769231
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,2,6,25,25,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,2,7,24,26,0.9230769230769231
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,2,8,24,26,0.9230769230769231
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,2,9,23,27,0.8518518518518519
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,2,10,23,27,0.8518518518518519
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,3,4,24,26,0.9230769230769231
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,3,5,24,26,0.9230769230769231
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,3,6,23,27,0.8518518518518519
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,3,7,24,26,0.9230769230769231
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,3,8,24,26,0.9230769230769231
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,3,9,21,29,0.7241379310344828
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,3,10,21,29,0.7241379310344828
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,4,5,25,25,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,4,6,24,26,0.9230769230769231
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,4,7,23,27,0.8518518518518519
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,4,8,25,25,1.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,4,9,22,28,0.7857142857142857
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,4,10,22,28,0.7857142857142857
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,5,6,24,26,0.9230769230769231
