method_key,method_short,method,budget,direct,near,far,mean_hop,overlap_count,monitor_dispersion_mean_hop,monitor_redundancy_mean_jaccard,global_mean_hop,diagnosis_seed_count,window_mrr_mean,window_top1_mean,window_top3_mean,window_top5_mean,event_mrr_mean_mean,event_top1_mean_mean,event_top3_mean_mean,event_top5_mean_mean,direct_mean,near_mean,far_mean,mean_hop_mean,overlap_count_mean,window_mrr_std,window_top1_std,window_top3_std,window_top5_std,event_mrr_mean_std,event_top1_mean_std,event_top3_mean_std,event_top5_mean_std,direct_std,near_std,far_std,mean_hop_std,overlap_count_std,window_mrr_min,window_top1_min,window_top3_min,window_top5_min,event_mrr_mean_min,event_top1_mean_min,event_top3_mean_min,event_top5_mean_min,direct_min,near_min,far_min,mean_hop_min,overlap_count_min,window_mrr_max,window_top1_max,window_top3_max,window_top5_max,event_mrr_mean_max,event_top1_mean_max,event_top3_mean_max,event_top5_mean_max,direct_max,near_max,far_max,mean_hop_max,overlap_count_max
two_stage_balanced_layout_v1,Two-stage v1,two_stage_balanced_layout_v1,20,15,28,7,1.36,15,13.76842105263158,0.011271929824561404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two_stage_balanced_layout_v1,Two-stage v1,two_stage_balanced_layout_v1,25,18,31,1,0.92,18,13.823333333333334,0.006115079365079365,,1.0,0.8848815990509759,0.8133022170361727,0.9521586931155193,0.9836639439906651,0.8719084994713301,0.7910304862685814,0.9458931720836483,0.9876543209876542,18.0,31.0,1.0,0.92,18.0,,,,,,,,,,,,,,0.8848815990509759,0.8133022170361727,0.9521586931155193,0.9836639439906651,0.8719084994713301,0.7910304862685814,0.9458931720836483,0.9876543209876542,18.0,31.0,1.0,0.92,18.0,0.8848815990509759,0.8133022170361727,0.9521586931155193,0.9836639439906651,0.8719084994713301,0.7910304862685814,0.9458931720836483,0.9876543209876542,18.0,31.0,1.0,0.92,18.0
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,5,3,20,27,5.38,3,11.9,0.10625,6.71875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,10,6,29,15,2.68,6,13.0,0.0804417187750521,3.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,15,9,33,8,1.52,9,13.038095238095238,0.08221758400329829,2.0546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,20,12,35,3,1.24,12,12.594736842105263,0.08919966729177255,1.6484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0_2_clean_scenario,v0_2 clean,learnable_layout_network_v0_2_clean_scenario,25,15,34,1,0.96,15,12.496666666666666,0.09170004995004995,1.3515625,1.0,0.8820680097493158,0.8016336056009334,0.9661610268378062,0.9836639439906651,0.8766801446451205,0.7923704410764453,0.957716049382716,0.9803791887125219,15.0,34.0,1.0,0.96,15.0,,,,,,,,,,,,,,0.8820680097493158,0.8016336056009334,0.9661610268378062,0.9836639439906651,0.8766801446451205,0.7923704410764453,0.957716049382716,0.9803791887125219,15.0,34.0,1.0,0.96,15.0,0.8820680097493158,0.8016336056009334,0.9661610268378062,0.9836639439906651,0.8766801446451205,0.7923704410764453,0.957716049382716,0.9803791887125219,15.0,34.0,1.0,0.96,15.0
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,5,2,20,28,5.4,2,13.4,0.07666666666666666,6.4453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,10,5,29,16,2.32,5,12.666666666666666,0.08989417989417989,3.1796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,15,7,34,9,1.68,7,13.142857142857142,0.08051432694289835,2.109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,20,10,37,3,1.28,10,12.873684210526315,0.08808308650413914,1.6640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_2_clean_generalization,v2_2 clean,learnable_layout_network_v2_2_clean_generalization,25,12,37,1,1.1,12,12.796666666666667,0.09125280275280274,1.3203125,1.0,0.9035639522234228,0.8296382730455076,0.9778296382730455,0.9929988331388565,0.8866947257302674,0.8001878441319433,0.9718694885361554,0.9914021164021164,12.0,37.0,1.0,1.1,12.0,,,,,,,,,,,,,,0.9035639522234228,0.8296382730455076,0.9778296382730455,0.9929988331388565,0.8866947257302674,0.8001878441319433,0.9718694885361554,0.9914021164021164,12.0,37.0,1.0,1.1,12.0,0.9035639522234228,0.8296382730455076,0.9778296382730455,0.9929988331388565,0.8866947257302674,0.8001878441319433,0.9718694885361554,0.9914021164021164,12.0,37.0,1.0,1.1,12.0
