method_short,method,layout_file,monitor_budget_n,candidate_node_id,min_monitor_hop,nearest_monitor,observability_tier_layout,is_direct,is_near,is_far
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1313205,0,HS1313205,direct,True,False,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1306904,0,HS1306904,direct,True,False,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1324403,1,HS1313044,near,False,True,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1316415,5,HS1308324,far,False,False,True
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1313925,1,HS1313959,near,False,True,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1313001,0,HS1313001,direct,True,False,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,MH0101924,1,HS1313402,near,False,True,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS2003111,15,HS1306571,far,False,False,True
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,MH0242782,4,HS1316563,far,False,False,True
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1344902,5,HS1316563,far,False,False,True
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1306554,1,HS1306571,near,False,True,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1330842,6,HS2003013,far,False,False,True
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1316585,2,HS1316563,near,False,True,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1313253,0,HS1313253,direct,True,False,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1313597,0,HS1313597,direct,True,False,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1344261,2,HS1316267,near,False,True,False
Degree,degree,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,25,HS1344920,2,HS1313298,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1313402,0,HS1313402,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,MH0258475,3,HS1316585,far,False,False,True
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,VP0232532,2,MH0201710,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,MH0201629,1,MH0201597,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1308259,1,HS1308324,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1311339,0,HS1311339,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1311288,1,HS1311284,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1313298,0,HS1313298,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS2003046,1,HS1306601,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1314505,1,HS1314769,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1316563,2,HS1316585,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1316814,1,HS1316835,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1316417,1,HS1313835,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1313025,0,HS1313025,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,MH0201710,0,MH0201710,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1344263,1,HS1316585,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1313471,1,HS1313487,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,MH0200661,1,MH0201710,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1314237,2,HS2003111,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1306601,0,HS1306601,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1316202,0,HS1316202,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1313618,0,HS1313618,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1306471,2,HS1316721,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS2003015,2,HS1314769,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1313140,1,HS1313044,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1308302,1,HS1308324,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS2003085,1,HS2003111,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1306571,1,HS1306601,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1316643,1,HS1316585,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1311473,2,HS1313025,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1316721,0,HS1316721,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1314477,0,HS1314477,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1313835,0,HS1313835,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1313205,1,HS1313167,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1306904,1,HS1306601,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1324403,1,HS1313044,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1316415,2,HS1316202,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1313925,0,HS1313925,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1313001,1,HS1311284,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,MH0101924,1,HS1313402,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS2003111,0,HS2003111,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,MH0242782,2,HS1316585,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1344902,1,HS1316676,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1306554,1,MH0201597,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1330842,0,HS1330842,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1316585,0,HS1316585,direct,True,False,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1313253,1,HS1313167,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1313597,2,HS1313835,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1344261,1,HS1316302,near,False,True,False
Cand-Obs,candidate_observability,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,25,HS1344920,2,HS1313298,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1313402,0,HS1313402,direct,True,False,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,MH0258475,1,MH0242782,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,VP0232532,0,VP0232532,direct,True,False,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,MH0201629,0,MH0201629,direct,True,False,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1308259,1,HS1308324,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1311339,0,HS1311339,direct,True,False,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1311288,0,HS1311288,direct,True,False,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1313298,0,HS1313298,direct,True,False,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS2003046,1,HS1306601,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1314505,1,MH0242303,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1316563,0,HS1316563,direct,True,False,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1316814,1,HS1316835,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1316417,0,HS1316417,direct,True,False,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1313025,0,HS1313025,direct,True,False,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,MH0201710,2,MH0201629,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1344263,1,MH0242782,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1313471,1,HS1313487,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,MH0200661,1,VP0232532,near,False,True,False
Two-stage v1,two_stage_balanced_layout_v1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,25,HS1314237,2,HS2003111,near,False,True,False
