method_short,method,seed,monitor_budget_n,scenario_id,n_windows,scenario_mrr,scenario_top1,scenario_top3,scenario_top5,source_json,defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow,observability_tier,nearest_monitors,is_hard_candidate,min_monitor_hop,nearest_monitor,observability_tier_layout
Cand-Obs,candidate_observability,7,25,104,17,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,104,I,HS1316202,,40,2,18,30.3413,0.0,0.0,0.0,75.8532,near,HS1316267,False,0,HS1316202,direct
Cand-Obs,candidate_observability,7,25,113,24,0.9791666666666666,0.9583333333333334,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,113,I,HS1306471,,40,8,24,0.8566,0.0,0.0,0.0,2.1414,far,HS1316467,True,2,HS1316721,near
Cand-Obs,candidate_observability,7,25,138,5,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,138,I,HS1306571,,50,2,6,53.7879,0.0,0.0,0.0,107.5758,direct,HS1306571,False,1,HS1306601,near
Cand-Obs,candidate_observability,7,25,150,6,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,150,I,HS1311473,,40,20,6,0.74,0.0,0.0,0.0,1.85,near,HS1313001,False,2,HS1313025,near
Cand-Obs,candidate_observability,7,25,152,17,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,152,I,HS1316721,,60,2,18,9.9812,0.0,0.0,0.0,16.6354,near,HS1316467,False,0,HS1316721,direct
Cand-Obs,candidate_observability,7,25,153,18,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,153,I,HS1316721,,60,14,18,9.9812,0.0,0.0,0.0,16.6354,near,HS1316467,False,0,HS1316721,direct
Cand-Obs,candidate_observability,7,25,168,24,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,168,I,HS1313205,,50,20,24,31.3426,0.0,0.0,0.0,62.6852,direct,HS1313205,False,1,HS1313167,near
Cand-Obs,candidate_observability,7,25,176,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,176,I,HS1324403,,60,20,12,37.5994,0.0,0.0,0.0,62.6657,near,HS1313044;HS1318293,False,1,HS1313044,near
Cand-Obs,candidate_observability,7,25,184,5,0.9,0.8,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,184,I,HS1316415,,50,2,6,2.8392,0.0,0.0,0.0,5.6785,far,HS1316267,True,2,HS1316202,near
Cand-Obs,candidate_observability,7,25,186,17,0.6470588235294118,0.3529411764705882,0.9411764705882352,0.9411764705882352,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,186,I,HS1313925,,60,2,18,1.2007,0.0,0.0,0.0,2.0012,near,HS1313959,False,0,HS1313925,direct
Cand-Obs,candidate_observability,7,25,190,24,0.8854166666666666,0.8333333333333334,0.9166666666666666,0.9583333333333334,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,190,I,HS1313925,,50,14,24,1.0006,0.0,0.0,0.0,2.0012,near,HS1313959,False,0,HS1313925,direct
Cand-Obs,candidate_observability,7,25,192,6,0.9166666666666666,0.8333333333333334,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,192,I,HS1313001,,60,14,6,4.2315,0.0,0.0,0.0,7.0525,direct,HS1313001,False,1,HS1311284,near
Cand-Obs,candidate_observability,7,25,193,23,0.8478260869565217,0.6956521739130435,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,193,I,HS1313001,,40,2,24,2.821,0.0,0.0,0.0,7.0525,direct,HS1313001,False,1,HS1311284,near
Cand-Obs,candidate_observability,7,25,196,24,0.9375,0.9166666666666666,0.9583333333333334,0.9583333333333334,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,196,I,MH0101924,,60,20,24,20.9231,0.0,0.0,0.0,34.8718,near,HS1313402;MH0100292,False,1,HS1313402,near
Cand-Obs,candidate_observability,7,25,197,17,0.9509803921568628,0.9411764705882352,0.9411764705882352,0.9411764705882352,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,197,I,MH0101924,,40,2,18,13.9487,0.0,0.0,0.0,34.8718,near,HS1313402;MH0100292,False,1,HS1313402,near
Cand-Obs,candidate_observability,7,25,202,18,0.3292328042328042,0.0,0.6666666666666666,0.8888888888888888,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,202,I,HS2003111,,40,14,18,11.8885,0.0,0.0,0.0,29.7212,far,HS1306601,True,0,HS2003111,direct
Cand-Obs,candidate_observability,7,25,212,5,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,212,I,HS1344902,,60,2,6,2.9322,0.0,0.0,0.0,4.887,far,HS1316467,True,1,HS1316676,near
Cand-Obs,candidate_observability,7,25,219,6,0.8333333333333334,0.6666666666666666,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,219,I,HS1306554,,50,8,6,16.6903,0.0,0.0,0.0,33.3805,near,HS1306571,False,1,MH0201597,near
Cand-Obs,candidate_observability,7,25,225,18,0.8305555555555555,0.7222222222222222,0.8888888888888888,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,225,I,HS1330842,,50,8,18,4.3084,0.0,0.0,0.0,8.6168,far,HS1306601,True,0,HS1330842,direct
Cand-Obs,candidate_observability,7,25,234,24,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,234,I,HS1313253,,40,8,24,2.6967,0.0,0.0,0.0,6.7419,direct,HS1313253,False,1,HS1313167,near
Cand-Obs,candidate_observability,7,25,248,23,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,248,I,HS1344920,,60,2,24,2.5461,0.0,0.0,0.0,4.2436,near,HS1313298,False,2,HS1313298,near
Cand-Obs,candidate_observability,7,25,251,6,0.9166666666666666,0.8333333333333334,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,251,E,HS1306571,HS1306554.2,50,6,6,-16.6747,0.0,0.0,0.0,33.3493,direct,HS1306571,False,1,HS1306601,near
Cand-Obs,candidate_observability,7,25,252,21,0.7619047619047619,0.5238095238095238,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,252,E,HS1306571,HS1306554.2,40,0,24,-13.3397,0.0,0.0,0.0,33.3493,direct,HS1306571,False,1,HS1306601,near
Cand-Obs,candidate_observability,7,25,253,15,0.9333333333333332,0.8666666666666667,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,253,E,HS1306571,HS1306554.2,60,0,18,-20.0096,0.0,0.0,0.0,33.3493,direct,HS1306571,False,1,HS1306601,near
Cand-Obs,candidate_observability,7,25,258,18,0.8425925925925926,0.7222222222222222,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,258,E,HS1306601,HS1306571.1,50,18,18,-53.7476,0.0,0.0,0.0,107.4953,direct,HS1306601,False,0,HS1306601,direct
Cand-Obs,candidate_observability,7,25,261,18,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,261,E,HS1306904,HS1313402.2,60,6,18,-38.4051,0.0,0.0,0.0,64.0085,direct,HS1306904,False,1,HS1306601,near
Cand-Obs,candidate_observability,7,25,276,24,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,276,E,HS1311339,HS1311349.2,50,12,24,-1.4322,0.0,0.0,0.0,2.8644,far,MH0100292,True,0,HS1311339,direct
Cand-Obs,candidate_observability,7,25,280,18,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,280,E,HS1311339,HS1311349.2,60,18,18,-1.7186,0.0,0.0,0.0,2.8644,far,MH0100292,True,0,HS1311339,direct
Cand-Obs,candidate_observability,7,25,291,6,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,291,E,HS1313140,HS1313044.1,60,6,6,5.3905,0.0,0.0,0.0,-8.9841,near,HS1313044,False,1,HS1313044,near
Cand-Obs,candidate_observability,7,25,292,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,292,E,HS1313140,HS1313044.1,60,6,12,5.3905,0.0,0.0,0.0,-8.9841,near,HS1313044,False,1,HS1313044,near
Cand-Obs,candidate_observability,7,25,312,21,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,312,E,HS1313402,HS1313391.1,40,0,24,-23.3318,0.0,0.0,0.0,58.3294,direct,HS1313402,False,0,HS1313402,direct
Cand-Obs,candidate_observability,7,25,313,3,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,313,E,HS1313402,HS1313391.1,60,0,6,-34.9977,0.0,0.0,0.0,58.3294,direct,HS1313402,False,0,HS1313402,direct
Cand-Obs,candidate_observability,7,25,318,6,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,318,E,HS1313597,HS1313613.1,60,18,6,-1.7301,0.0,0.0,0.0,2.8834,direct,HS1313597,False,2,HS1313835,near
Cand-Obs,candidate_observability,7,25,326,12,0.7777777777777778,0.5833333333333334,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,326,E,HS1314237,HS1314210.1,50,6,12,-1.9257,0.0,0.0,0.0,3.8514,far,HS1306601,True,2,HS2003111,near
Cand-Obs,candidate_observability,7,25,340,18,0.8829365079365079,0.8333333333333334,0.8888888888888888,0.9444444444444444,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,340,E,HS1314505,HS1314769.1,50,12,18,3.7797,0.0,0.0,0.0,-7.5595,near,HS2003013,False,1,HS1314769,near
Cand-Obs,candidate_observability,7,25,344,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,344,E,HS1316202,HS1316177.1,50,12,12,-34.5508,0.0,0.0,0.0,69.1016,near,HS1316267,False,0,HS1316202,direct
Cand-Obs,candidate_observability,7,25,346,18,0.902006172839506,0.8888888888888888,0.8888888888888888,0.8888888888888888,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,346,E,HS1316563,HS1316467.1,50,12,18,-8.5035,0.0,0.0,0.0,17.007,direct,HS1316563,False,2,HS1316585,near
