scenario_id,relative_hour,hop_band,exceedance_rate,node_count,residual_energy_q90,hydraulic_response_index_q90,is_active,defect_type,true_node,start_hour,duration_h,flow,abs_flow
7,1.833333,0-hop,0.0,1,3.128124494763578e-05,0.0001793121896685671,True,I,MH0258475,8,12,1.1101,1.1101
7,1.833333,1-hop,0.0,1,4.950368184672795e-05,0.00020651503248208294,True,I,MH0258475,8,12,1.1101,1.1101
7,1.833333,2-hop,0.0,1,0.000638898818412692,0.0015860072976296208,True,I,MH0258475,8,12,1.1101,1.1101
7,1.833333,3+-hop,0.008,125,0.06061653423332891,0.13683264986732646,True,I,MH0258475,8,12,1.1101,1.1101
7,2.0,0-hop,0.0,1,0.00018302413397832117,0.0010491416911565842,True,I,MH0258475,8,12,1.1101,1.1101
7,2.0,1-hop,0.0,1,3.185658507231572e-06,1.3289645245674517e-05,True,I,MH0258475,8,12,1.1101,1.1101
7,2.0,2-hop,0.0,1,0.0003080332682565227,0.0007646641334872165,True,I,MH0258475,8,12,1.1101,1.1101
7,2.0,3+-hop,0.008,125,0.06074416128469158,0.13666956086048868,True,I,MH0258475,8,12,1.1101,1.1101
7,2.166667,0-hop,0.0,1,2.0814502688890362e-05,0.00011931411490351483,True,I,MH0258475,8,12,1.1101,1.1101
7,2.166667,1-hop,0.0,1,2.5846438419255375e-06,1.0782386017720995e-05,True,I,MH0258475,8,12,1.1101,1.1101
7,2.166667,2-hop,0.0,1,4.0252314233624297e-05,9.992265172694607e-05,True,I,MH0258475,8,12,1.1101,1.1101
7,2.166667,3+-hop,0.008,125,0.05984903240921007,0.13633912871268852,True,I,MH0258475,8,12,1.1101,1.1101
7,2.333333,0-hop,0.0,1,9.261804157619634e-06,5.309105780681961e-05,True,I,MH0258475,8,12,1.1101,1.1101
7,2.333333,1-hop,0.0,1,2.1603225849059497e-06,9.01224054758097e-06,True,I,MH0258475,8,12,1.1101,1.1101
7,2.333333,2-hop,0.0,1,2.8308631037545345e-05,7.027356150539937e-05,True,I,MH0258475,8,12,1.1101,1.1101
7,2.333333,3+-hop,0.008,125,0.06029164574746203,0.13762644995777096,True,I,MH0258475,8,12,1.1101,1.1101
7,2.5,0-hop,0.0,1,3.9439105095462124e-05,0.00022607515477962288,True,I,MH0258475,8,12,1.1101,1.1101
7,2.5,1-hop,0.0,1,1.2600016096086638e-05,5.2563620245755335e-05,True,I,MH0258475,8,12,1.1101,1.1101
7,2.5,2-hop,0.0,1,0.00013289485161617975,0.00032989919280852374,True,I,MH0258475,8,12,1.1101,1.1101
