budget,best_method,best_mrr,second_method,second_mrr,leader_margin
5,Embedding-Guided,0.6067046794240878,Betweenness,0.6022712946805644,0.004433384743523394
10,Two-stage v1,0.7542443509175353,Degree,0.7204908141738748,0.03375353674366044
15,Two-stage v1,0.84360391549664,Embedding-Guided,0.8401114215402434,0.003492493956396614
20,Two-stage v1,0.8913851934208717,Betweenness,0.8657833289644218,0.025601864456449963
25,Two-stage v1,0.9065195379191882,Embedding-Guided,0.8822670256438321,0.024252512275356075
