budget,Degree,Betweenness,Two-stage v1,Embedding-Guided
5,0.5413952134209409,0.6022712946805644,0.3151387036161404,0.6067046794240878
10,0.7204908141738748,0.6704309582199952,0.7542443509175353,0.6577861197888171
15,0.7809943212153705,0.8261827811530736,0.84360391549664,0.8401114215402434
20,0.7872082057438757,0.8657833289644218,0.8913851934208717,0.8461676900738586
25,0.8457453866493484,0.8575152626864986,0.9065195379191882,0.8822670256438321
