tag,seed,MRR,Top-1,Top-3,Top-5,Event Top-1,Event Top-3,Event Top-5,active_f1,normal_window_fpr,scene_f1,source,notes
Degree_N25_formal,7,0.847744,0.741294,0.944279,0.974129,0.796875,0.96875,0.984375,0.98794,0.001132,1.0,CH5-EXPT_fixed_protocol_N25_main_table.csv,formal protocol - ie420+normal20
Degree_N25_formal,42,0.845745,0.772831,0.89726,0.946347,0.819672,0.95082,0.983607,0.979045,0.000527,0.991736,CH5-EXPT_fixed_protocol_N25_main_table.csv,formal protocol - ie420+normal20
Degree_N25_formal,123,0.782686,0.642529,0.916092,0.975862,0.688525,0.934426,1.0,0.993653,0.001052,1.0,CH5-EXPT_fixed_protocol_N25_main_table.csv,formal protocol - ie420+normal20
