model,n_seeds,mrr_mean,mrr_std,top1_mean,top1_std,top3_mean,top3_std,top5_mean,top5_std,active_f1_mean,active_f1_std,normal_window_fpr_mean,normal_window_fpr_std,scene_f1_mean,scene_f1_std,event_top1_mean,event_top1_std,event_top3_mean,event_top3_std,event_top5_mean,event_top5_std
gru_only,3,0.2109669132829953,0.00922565573739851,0.14518033357069166,0.018035535857598727,0.1903460966306869,0.0023807456184535736,0.21963466402830753,0.0025816255892637196,0.7708353305532089,0.09065489455331494,0.022680033918344094,0.007383321962565492,0.8670727822901736,0.08783563642418904,0.11791325136612021,0.021308540183794862,0.19339139344262296,0.011757702272057887,0.22515368852459017,0.03599488199262119
gru_gcn,3,0.254951412936254,0.011604267104771854,0.15323888352286746,0.00665322023751579,0.27420647510361906,0.01613307768230057,0.3326223550802122,0.02737472099126518,0.9676881387052578,0.0105983692317419,0.00779642885205189,0.002611798086217736,0.9946205071473504,0.0046628660436275615,0.15070013661202186,0.02609228709092275,0.2743340163934426,0.007542229438696429,0.33367486338797814,0.02459727811479624
lstm_graphsage_edge,3,0.46640444941991577,0.008963663426993954,0.3802761503457363,0.014159314580726981,0.47724763836305795,0.02166027604089701,0.5229195308295556,0.029803707734874736,0.9851372559574961,0.005084704553717571,0.006519974099557251,0.004309869503788846,1.0,0.0,0.43049863387978143,0.026640986183111608,0.5052083333333334,0.012188783720754447,0.5533640710382514,0.03917661989521931
hydraulic_inverse,3,0.4269443465958797,0.04630345534540855,0.3118497420001238,0.05856798147251788,0.4423892190754619,0.03948728142944084,0.524700893266309,0.0175076808575812,0.9735130763983,0.0038758976072768548,0.008714531850340976,0.003279755431512703,1.0,0.0,0.334443306010929,0.06447205281346602,0.4791666666666667,0.037003642707054245,0.5595969945355191,0.029519638131751274
hydraulic_inverse_deepattn,3,0.8253917729506427,0.03699768782373579,0.718884439399601,0.06798013593711555,0.9192102783202551,0.023663767011346166,0.9654461513876061,0.01656299634832897,0.9868792418757231,0.007361125831782276,0.0009036042613382966,0.0003282468419670347,0.9972451790633609,0.00477148982801342,0.7683572404371585,0.07007043837721241,0.9513319672131147,0.017167618934545104,0.9893271857923497,0.009250910676763566
