experiment,variant,model,layers,path_prior_mode,n_seeds,mrr_mean,mrr_std,top1_mean,top1_std,top3_mean,top3_std,active_f1_mean,active_f1_std,normal_window_fpr_mean,normal_window_fpr_std,scene_f1_mean,scene_f1_std,event_top1_mean,event_top1_std,event_top3_mean,event_top3_std
depth,deepattn_L1,hydraulic_inverse_deepattn,1,full,3,0.3839717208089931,0.029599894931619904,0.23904411182945295,0.03908870379456162,0.42267778568972175,0.006604443715129164,0.9707949467972213,0.020204852578500798,0.009200127487945785,0.00860367970562865,0.9863610111510951,0.01707354701905989,0.24701161202185792,0.05959840125087581,0.4458674863387978,0.021445123311590545
depth,deepattn_L2,hydraulic_inverse_deepattn,2,full,3,0.6964493572361592,0.0387367594934794,0.5580926653145859,0.04835659531516067,0.7886605000505268,0.04968795838078956,0.9840154473302032,0.008510787200450162,0.008239000019758507,0.005661953203861099,0.9944444444444445,0.009622504486493794,0.5801741803278688,0.03527310681617365,0.8274419398907104,0.02884400260393177
depth,deepattn_L3,hydraulic_inverse_deepattn,3,full,3,0.8253917729506427,0.03699768782373579,0.718884439399601,0.06798013593711555,0.9192102783202551,0.023663767011346166,0.9868792418757231,0.007361125831782276,0.0009036042613382966,0.0003282468419670347,0.9972451790633609,0.00477148982801342,0.7683572404371585,0.07007043837721241,0.9513319672131147,0.017167618934545104
depth,deepattn_L4,hydraulic_inverse_deepattn,4,full,3,0.8314330223768353,0.024426488783592833,0.7263032577625179,0.05425909336814452,0.9288709577604028,0.014842504223023023,0.9827146932411285,0.008300006285844182,0.005945724118522931,0.004008163604340357,0.9944444444444445,0.009622504486493794,0.7579405737704918,0.06591059991662386,0.9518442622950819,0.014883031809768374
path_prior,deepattn_L3_distance_only,hydraulic_inverse_deepattn,3,distance_only,1,0.8001565851067027,0.0,0.6815068493150684,0.0,0.910958904109589,0.0,0.9730679156908666,0.0,0.0005274261603375527,0.0,0.9833333333333333,0.0,0.7049180327868853,0.0,0.9836065573770492,0.0
path_prior,deepattn_L3_content_only,hydraulic_inverse_deepattn,3,none,3,0.7753603287155036,0.03165319898912724,0.6440926371135975,0.055618608448759654,0.8901301240608483,0.0054180536729839645,0.9843426143312838,0.004768076150612874,0.00742421394002542,0.0044982105508242845,1.0,0.0,0.6780225409836066,0.08056685121446043,0.9195696721311476,0.014150847660792163
temporal_encoder,hydraulic_inverse_LSTM,hydraulic_inverse_lstm,1,full,3,0.48486174344822824,0.04114336660464225,0.3474967705951427,0.04210830681265043,0.5338351150874505,0.06543377744709905,0.9820389865317074,0.005713153357932975,0.00965054217291439,0.002392326767793876,0.9919136288137075,0.008064604970239135,0.36150956284153,0.07372838146166703,0.5650614754098361,0.07936937295292223
