experiment,variant,model,layers,path_prior_mode,n_seeds,mrr_mean,mrr_std,top1_mean,top1_std,top3_mean,top3_std,active_f1_mean,active_f1_std,normal_window_fpr_mean,normal_window_fpr_std,scene_f1_mean,scene_f1_std,event_top1_mean,event_top1_std,event_top3_mean,event_top3_std,mrr_gain
depth,deepattn_L1,hydraulic_inverse_deepattn,1,full,3,0.3839717208089931,0.0295998949316199,0.2390441118294529,0.0390887037945616,0.4226777856897217,0.0066044437151291,0.9707949467972212,0.0202048525785007,0.0092001274879457,0.0086036797056286,0.9863610111510952,0.0170735470190598,0.2470116120218579,0.0595984012508758,0.4458674863387978,0.0214451233115905,
depth,deepattn_L2,hydraulic_inverse_deepattn,2,full,3,0.6964493572361592,0.0387367594934794,0.5580926653145859,0.0483565953151606,0.7886605000505268,0.0496879583807895,0.9840154473302032,0.0085107872004501,0.0082390000197585,0.005661953203861,0.9944444444444444,0.0096225044864937,0.5801741803278688,0.0352731068161736,0.8274419398907104,0.0288440026039317,0.3124776364271661
depth,deepattn_L3,hydraulic_inverse_deepattn,3,full,3,0.8253917729506427,0.0369976878237357,0.718884439399601,0.0679801359371155,0.9192102783202551,0.0236637670113461,0.9868792418757232,0.0073611258317822,0.0009036042613382,0.000328246841967,0.9972451790633609,0.0047714898280134,0.7683572404371585,0.0700704383772124,0.9513319672131147,0.0171676189345451,0.1289424157144835
depth,deepattn_L4,hydraulic_inverse_deepattn,4,full,3,0.8314330223768353,0.0244264887835928,0.7263032577625179,0.0542590933681445,0.9288709577604028,0.014842504223023,0.9827146932411284,0.0083000062858441,0.0059457241185229,0.0040081636043403,0.9944444444444444,0.0096225044864937,0.7579405737704918,0.0659105999166238,0.951844262295082,0.0148830318097683,0.006041249426192552
