metric,I,E,gap_I_minus_E,color
Window MRR,0.8539898311786017,0.7884765482992969,0.0655132828793048,#4E79A7
Window Top-1,0.7570607759111846,0.6692570661919321,0.08780370971925244,#F28E2B
Window Top-3,0.9571976682242548,0.8708881453569716,0.08630952286728322,#59A14F
Event MRR,0.8787672476397966,0.8319815105529391,0.046785737086857515,#B07AA1
Event Top-1,0.7909274821039527,0.7391127391127391,0.05181474299121358,#B07AA1
Event Top-3,0.9907407407407408,0.8997761497761497,0.09096459096459109,#76B7B2
