label,mrr_mean,mrr_std,top1_mean,top1_std,top3_mean,top3_std,event_top1_mean,event_top1_std,normal_window_fpr_mean,normal_window_fpr_std,group
GRU,0.2109669132829953,0.0092256557373985,0.1451803335706916,0.0180355358575987,0.1903460966306869,0.0023807456184535,0.1179132513661202,0.0213085401837948,0.022680033918344,0.0073833219625654,Non-path references
GRU-GCN,0.254951412936254,0.0116042671047718,0.1532388835228674,0.0066532202375157,0.274206475103619,0.0161330776823005,0.1507001366120218,0.0260922870909227,0.0077964288520518,0.0026117980862177,Non-path references
LSTM-GraphSAGE,0.4664044494199157,0.0089636634269939,0.3802761503457363,0.0141593145807269,0.4772476383630579,0.021660276040897,0.4304986338797814,0.0266409861831116,0.0065199740995572,0.0043098695037888,Non-path references
Hydraulic-Inverse-GRU,0.4269443465958797,0.0463034553454085,0.3118497420001238,0.0585679814725178,0.4423892190754619,0.0394872814294408,0.334443306010929,0.064472052813466,0.0087145318503409,0.0032797554315127,Single-layer path models
Hydraulic-Inverse-LSTM,0.4848617434482282,0.0411433666046422,0.3474967705951427,0.0421083068126504,0.5338351150874505,0.065433777447099,0.36150956284153,0.073728381461667,0.0096505421729143,0.0023923267677938,Single-layer path models
DeepAttn-L3,0.8253917729506427,0.0369976878237357,0.718884439399601,0.0679801359371155,0.9192102783202551,0.0236637670113461,0.7683572404371585,0.0700704383772124,0.0009036042613382,0.000328246841967,Proposed multi-layer model
