metric,mean,std,formal_seed42,lower_better,display_value,heatmap_score,color
MRR,0.8253916666666666,0.03699769552733432,0.8253916666666666,False,0.8253916666666666,0.8253916666666666,#4E79A7
Top-1,0.7188846666666667,0.06798004461850062,0.7188846666666667,False,0.7188846666666667,0.7188846666666667,#F28E2B
Top-3,0.9192103333333334,0.023664099229282615,0.9192103333333334,False,0.9192103333333334,0.9192103333333334,#59A14F
Event Top-1,0.7683573333333333,0.07007015688817406,0.7683573333333333,False,0.7683573333333333,0.7683573333333333,#B07AA1
Event Top-3,0.951332,0.017167727048156386,0.951332,False,0.951332,0.951332,#76B7B2
Scene F1,0.9972453333333333,0.004771222624583096,0.9917,False,0.9917,0.9917,#9C755F
Normal FPR,0.0009036666666666667,0.0003286462130214394,0.0005,True,0.0005,0.9995,#E15759
